Congress,Commitee,Agency,Count
115,314,Federal Housing Finance Agency,1
115,314,National Credit Union Administration,1
115,314,Office of the Comptroller of the Currency,1
115,321,Federal Aviation Administration,2
115,314,Department of State,1
115,314,Federal Bureau of Investigation,1
115,314,Securities and Exchange Commission,1
115,321,Department of Transportation,5
115,321,Department of Commerce,2
115,321,Federal Maritime Commission,3
115,321,Department of Homeland Security,1
115,321,National Science Foundation,1
115,-,National Transportation Safety Board,1
115,321,United States Coast Guard,1
115,330,Department of the Interior,2
115,321,Federal Trade Commission,2
115,321,Department of Defense,1
114,102,United States Agency for International Development,2
115,330,Department of Agriculture,1
115,332,Department of Transportation,5
115,332,Department of the Interior,1
115,332,Nuclear Regulatory Commission,7
115,332,Environmental Protection Agency,3
115,332,United States Army Corps of Engineers,2
115,332,United States Fish and Wildlife Service,1
115,332,Department of Justice,1
115,332,Federal Bureau of Investigation,1
115,332,General Services Administration,1
115,332,Federal Highway Administration,1
115,332,Tennessee Valley Authority,4
115,332,Mississippi River Commission,1
114,102,Environmental Protection Agency,2
114,173,United States Coast Guard,11
114,134,Bureau of Consular Affairs,6
114,173,Federal Emergency Management Agency,5
114,173,Department of Energy,1
114,173,Department of Homeland Security,3
115,344,Department of Homeland Security,3
115,344,Department of Defense,1
115,344,United States Customs and Border Protection,2
115,344,United States Immigration and Customs Enforcement,1
115,344,Department of Commerce,1
115,344,Department of Agriculture,1
115,344,Department of Justice,1
115,344,Department of Veterans Affairs,1
115,344,Department of the Treasury,1
115,344,Department of State,1
115,344,United States Postal Service,2
115,344,Department of the Interior,1
115,344,Federal Energy Regulatory Commission,1
114,102,Federal Reserve,1
114,173,National Institute of Building Sciences,1
115,435,Department of Homeland Security,1
115,435,Department of Health and Human Services,5
115,435,Department of the Interior,11
115,435,Department of Justice,2
115,435,Department of Veterans Affairs,1
115,435,Department of Housing and Urban Development,1
115,435,National Indian Gaming Commission,1
115,435,Bureau of Reclamation,1
115,435,Administration for Children and Families,1
115,432,Federal Bureau of Investigation,2
115,384,Small Business Administration,2
115,388,Department of Veterans Affairs,1
115,507,Library of Congress,1
115,507,Department of State,1
115,432,Department of Homeland Security,2
114,128134182,Department of Energy,1
114,128134182,Department of State,1
114,102,Office of Water,1
114,106134,Department of Defense,2
114,106134,Arms Control and International Security,1
114,102,Agricultural Marketing Service,2
114,102,Animal and Plant Health Inspection Service,2
114,102,Agricultural Research Service,3
114,102,Department of Health and Human Services,1
114,102,Department of Transportation,1
114,102,Department of Defense,1
114,102,Farm Credit Administration,1
114,128,Food and Drug Administration,7
114,102,Department of Homeland Security,1
114,102,Federal Agricultural Mortgage Corporation,1
114,128,Department of Health and Human Services,29
114,128,Centers for Medicare and Medicaid Services,7
114,113,Department of Housing and Urban Development,9
114,104164,Department of the Interior,1
114,104128,Department of Commerce,1
114,104173,Environmental Protection Agency,1
114,104173,Natural Resources Conservation Service,1
114,104192,Department of Veterans Affairs,1
114,113,Federal Reserve,13
114,106,Department of Defense,34
114,106,Department of State,1
114,106,Department of the Navy,4
114,113,Department of the Treasury,12
114,106,Department of the Air Force,2
114,134,Department of State,95
114,106,Joint Chiefs of Staff,5
114,106,Missile Defense Agency,2
114,106,Department of Energy,3
114,106,National Nuclear Security Administration,5
114,106,Defense Nuclear Facilities Safety Board,1
114,106,Defense Advanced Research Projects Agency,2
114,308,Department of Defense,20
114,308,United Nations,3
114,106,Broadcasting Board of Governors,1
114,106,Central Intelligence Agency,1
114,106,Defense Health Agency,2
114,106308,Defense Nuclear Facilities Safety Board,1
114,106308,Department of Energy,1
114,106308,National Nuclear Security Administration,1
114,134106,Department of Defense,1
114,134106,Department of State,1
114,134106,United States Fish and Wildlife Service,1
114,134106,Department of the Treasury,1
114,106,Special Inspector General for Afghanistan Reconstruction,2
114,106,United Nations,1
114,128,Federal Communications Commission,31
114,106,Maritime Administration,1
114,106134,Department of State,1
114,106,Department of the Army,1
114,106,United States Army Corps of Engineers,1
114,124,Department of Labor,8
114,106,National Guard Bureau,1
114,106,Defense Finance and Accounting Service,1
114,124,Department of Education,10
114,124,Equal Employment Opportunity Commission,1
114,124,Department of the Interior,1
114,124,Department of Agriculture,2
114,124,Department of Health and Human Services,2
114,128,Environmental Protection Agency,19
114,128,Centers for Disease Control and Prevention,8
114,128,Department of Energy,13
114,128,Substance Abuse and Mental Health Services Administration,2
114,128,Federal Trade Commission,5
114,128,National Institutes of Health,5
114,128,Office of National Drug Control Policy,1
114,128,Federal Energy Regulatory Commission,13
114,128,Nuclear Regulatory Commission,10
114,128,National Highway Traffic Safety Administration,6
114,128,Consumer Product Safety Commission,4
114,128,National Telecommunications and Information Administration,1
114,128,Pipeline and Hazardous Materials Safety Administration,2
114,128,Department of Defense,3
114,128,Drug Enforcement Administration,1
114,128,Executive Office of the President,1
114,128,Consumer Financial Protection Bureau,1
114,134,United States Agency for International Development,37
114,128,Federal Bureau of Investigation,1
114,128,Energy Information Administration,1
114,128,Department of Agriculture,1
114,128,Department of Transportation,2
114,113,Federal Housing Finance Agency,2
114,113,Consumer Financial Protection Bureau,7
114,113,Securities and Exchange Commission,14
114,113,Federal Deposit Insurance Corporation,4
114,113138,Department of the Treasury,1
114,113138,Export-Import Bank of the United States,3
114,113,National Credit Union Administration,3
114,113,Office of the Comptroller of the Currency,2
114,113,Department of Agriculture,1
114,113,Department of Homeland Security,1
114,113,Export-Import Bank of the United States,2
114,113,Financial Stability Oversight Council,2
114,113,United States Customs and Border Protection,1
114,113,Department of State,2
114,113,Department of Justice,1
114,113,Department of Commerce,1
114,134,Bureau of Industry and Security,2
114,134,Millennium Challenge Corporation,3
114,134,Department of the Treasury,4
114,134,Department of Defense,11
114,134,Department of the Interior,1
114,134,Department of Justice,1
114,134,Department of Homeland Security,5
114,134,Bureau of International Narcotics and Law Enforcement Affairs,2
114,134,Overseas Private Investment Corporation,1
114,134,Trade and Development Agency,1
114,134,Export-Import Bank of the United States,1
114,134,Arms Control and International Security,2
114,134,Central Intelligence Agency,1
114,134,Department of Energy,3
114,134,United States Institute of Peace,4
114,134,Department of Agriculture,2
114,134,Office of the United States Trade Representative,1
114,134,Centers for Disease Control and Prevention,2
114,134,Department of Health and Human Services,1
114,134,United Nations,3
114,134,Energy Information Administration,1
114,134,Department of Commerce,1
114,134,National Security Council,2
114,251,Department of Homeland Security,88
114,251,Department of Justice,5
114,251,Office of the Director of National Intelligence,3
114,251,Secret Service,1
114,251,Library of Congress,4
114,251,Central Intelligence Agency,1
114,251,Federal Bureau of Investigation,1
114,173,United States Army Corps of Engineers,5
114,251,Department of Defense,2
114,173,General Services Administration,3
114,251,Transportation Security Administration,2
114,251,National Railroad Passenger Corporation,1
114,251,General Services Administration,2
114,138251,Department of State,2
114,138251,Department of Commerce,1
114,138251,Department of Homeland Security,1
114,251,Bureau of Consular Affairs,1
114,251,Department of State,2
114,251,Department of Agriculture,2
114,251,Department of Energy,1
114,164,Bureau of Safety and Environmental Enforcement,2
114,164,Bureau of Ocean Energy Management,1
114,138,Department of State,17
114,164,Council on Environmental Quality,3
114,164,Bureau of Land Management,7
114,164,Department of Agriculture,4
114,164,Bureau of Indian Affairs,1
114,164,Department of the Interior,13
114,138164,Environmental Protection Agency,1
114,164,National Oceanic and Atmospheric Administration,1
114,164,National Park Service,1
114,164,United States Fish and Wildlife Service,1
114,164,Bureau of Reclamation,2
114,164,Department of the Treasury,2
114,164,Forest Service,1
114,164,Department of Health and Human Services,1
114,164,United States Geological Survey,1
114,138,Environmental Protection Agency,14
114,138,Department of Justice,13
114,138,Peace Corps,1
114,138,Centers for Medicare and Medicaid Services,5
114,138,Department of Energy,2
114,138,National Aeronautics and Space Administration,3
114,138,Department of Defense,10
114,138,Internal Revenue Service,10
114,138,Secret Service,4
114,138,National Transportation Safety Board,5
114,138,Food and Drug Administration,3
114,138,National Archives and Records Administration,2
114,138,Office of Management and Budget,17
114,138,Federal Communications Commission,1
114,138,Department of Health and Human Services,9
114,138,Department of Housing and Urban Development,3
114,138,United States Immigration and Customs Enforcement,1
114,138,Department of Homeland Security,32
114,138,Drug Enforcement Administration,1
114,138,Office of Personnel Management,10
114,138,Federal Aviation Administration,1
114,138,Federal Bureau of Investigation,4
114,138,Special Inspector General for Afghanistan Reconstruction,2
114,138,Railroad Retirement Board,2
114,138,General Services Administration,11
114,138,United States Postal Service,2
114,138,Department of the Treasury,5
114,138,Department of Labor,2
114,138,Department of the Interior,10
114,138,Department of Transportation,7
114,138,Department of Veterans Affairs,4
114,138,Bureau of Diplomatic Security,3
114,138,United States Customs and Border Protection,1
114,138192,Department of Defense,2
114,138192,Department of Veterans Affairs,1
114,138,United Nations,1
114,138,United States Census Bureau,4
114,138,Department of Education,6
114,138,Office of National Drug Control Policy,2
114,138,Assistant Secretary for Land and Minerals Management,1
114,138,Office of Special Counsel,1
114,138,Office of Government Ethics,1
114,138,Merit Systems Protection Board,1
114,138,Bureau of Consular Affairs,2
114,138,Centers for Disease Control and Prevention,1
114,138,National Institutes of Health,1
114,138,Office of the Director of National Intelligence,4
114,138,Federal Trade Commission,1
114,138,Bureau of Land Management,2
114,138,Federal Transit Administration,2
114,138,Transportation Security Administration,4
114,138,Postal Regulatory Commission,1
114,138,Department of Agriculture,7
114,138,Social Security Administration,6
114,138,Department of Commerce,2
114,138,Bureau of Prisons,1
114,138,Federal Emergency Management Agency,2
114,138,Federal Deposit Insurance Corporation,1
114,138,Federal Railroad Administration,1
114,138,Central Intelligence Agency,1
114,138,National Science Foundation,1
114,138,Tennessee Valley Authority,1
114,138,Election Assistance Commission,1
114,138,United States Patent and Trademark Office,1
114,138,Small Business Administration,1
114,182,National Science Foundation,11
114,182,National Institute of Standards and Technology,5
114,182,Department of Energy,11
114,182,National Aeronautics and Space Administration,5
114,182,National Oceanic and Atmospheric Administration,4
114,182,Environmental Protection Agency,6
114,182,National Archives and Records Administration,1
114,182,Federal Aviation Administration,3
114,182,Department of Transportation,1
114,182,Energy Information Administration,1
114,182,Office of Personnel Management,1
114,182,Department of Commerce,2
114,182,Nuclear Regulatory Commission,1
114,182,Department of Homeland Security,1
114,182,Internal Revenue Service,1
114,182,Office of Fossil Energy,1
114,173,Federal Aviation Administration,6
114,173,Department of Transportation,6
114,182,National Institutes of Health,1
114,184,Small Business Administration,16
114,173,Pension Benefit Guaranty Corporation,1
114,173,Smithsonian Institution,1
114,173,United States Customs and Border Protection,2
114,173,National Nuclear Security Administration,1
114,173,Environmental Protection Agency,4
114,184,Department of Labor,1
114,184,Office of Management and Budget,1
114,184,Department of Defense,2
114,184192,Department of Veterans Affairs,1
114,184,Department of State,1
114,184,Bureau of Industry and Security,1
114,184,National Institutes of Health,1
114,184,National Science Foundation,1
114,184,Internal Revenue Service,3
114,173,Federal Maritime Commission,1
114,173,Maritime Administration,1
114,173,Department of Defense,1
114,173,Federal Railroad Administration,3
114,173,National Transportation Safety Board,1
114,173,Federal Communications Commission,1
114,173,Forest Service,1
114,173,National Oceanic and Atmospheric Administration,1
114,173,Department of Veterans Affairs,1
114,192,Department of Veterans Affairs,98
114,192,Department of Labor,10
114,192,Department of Defense,3
114,192,Veterans Health Administration,2
114,192,Office of Special Counsel,1
114,192,Department of the Army,2
114,196,Social Security Administration,8
114,192,Department of Justice,1
114,192,Office of Personnel Management,1
114,192,Board of Veterans Appeals,1
114,196,Internal Revenue Service,6
114,196,Department of the Treasury,5
114,196,Department of Commerce,1
114,196,Department of Agriculture,1
114,196,Department of Health and Human Services,5
114,196,Office of Management and Budget,2
114,196,Federal Reserve,1
114,196,Centers for Medicare and Medicaid Services,1
114,196,Department of Justice,1
114,196,Federal Deposit Insurance Corporation,1
114,196,United States Customs and Border Protection,1
114,156,Department of Justice,17
114,156,Federal Bureau of Investigation,5
114,156,Federal Communications Commission,2
114,156,Federal Trade Commission,4
114,156,United States Patent and Trademark Office,3
114,156,Department of Homeland Security,5
114,156,Department of State,4
114,156,Securities and Exchange Commission,1
114,156,United States Citizenship and Immigration Services,2
114,156,United States International Trade Commission,1
114,156,Drug Enforcement Administration,1
114,156,Library of Congress,1
114,156,Office of Management and Budget,1
114,156,Internal Revenue Service,1
114,156,Civil Rights Division,1
114,-,Department of Education,2
114,-,Environmental Protection Agency,1
114,-,Department of Homeland Security,2
114,305,Department of Agriculture,7
114,305,Department of Commerce,1
114,305,Department of the Treasury,1
114,305,Department of Education,1
114,305,Agricultural Research Service,1
114,305,Animal and Plant Health Inspection Service,1
114,305,Environmental Protection Agency,1
114,305,Food and Drug Administration,1
113,113,Department of the Treasury,16
114,435306,Department of the Interior,1
114,308,Department of Energy,6
114,306321,Department of Transportation,2
114,306388,Department of Veterans Affairs,2
114,306321,Federal Aviation Administration,1
113,138,Office of Management and Budget,8
114,314,Federal Reserve,7
114,308,Joint Chiefs of Staff,5
114,308,National Nuclear Security Administration,2
114,314,Consumer Financial Protection Bureau,3
114,314,Office of the Comptroller of the Currency,3
114,321,Department of Commerce,12
114,308,Department of the Navy,3
114,321,Department of Transportation,19
114,321,National Aeronautics and Space Administration,5
113,173,United States Coast Guard,14
114,308,Central Intelligence Agency,2
114,308,Department of State,1
113,173,Federal Railroad Administration,5
113,173,Department of Transportation,23
114,308,Office of the Director of National Intelligence,1
113,138,Department of State,7
114,321,Consumer Product Safety Commission,8
114,321,National Transportation Safety Board,4
114,321,Federal Aviation Administration,4
113,138,Department of Health and Human Services,8
114,308,Department of the Air Force,1
114,308,Department of the Army,1
113,173,Federal Aviation Administration,11
114,308,Department of Justice,1
114,314,National Credit Union Administration,1
114,314,Federal Deposit Insurance Corporation,2
114,314,Department of the Treasury,7
114,314,Department of State,3
114,314,Securities and Exchange Commission,3
114,314,Department of Transportation,1
114,314,Export-Import Bank of the United States,1
114,314,Financial Stability Oversight Council,1
113,113,Consumer Financial Protection Bureau,13
114,314,Securities Investor Protection Corporation,1
114,314,Federal Emergency Management Agency,1
114,321,Department of Homeland Security,3
114,321,United States Coast Guard,3
114,321,Federal Communications Commission,19
114,321,Department of State,1
113,173,Maritime Administration,2
114,330,Department of Energy,15
114,321,Surface Transportation Board,4
114,321,Federal Maritime Commission,2
114,321,National Science Foundation,1
113,173,Federal Emergency Management Agency,4
113,173,Department of Housing and Urban Development,1
113,173,Small Business Administration,1
114,321,Federal Trade Commission,3
114,330,Department of the Interior,19
114,330,Department of State,1
114,330,Department of Agriculture,19
114,330332,Environmental Protection Agency,1
114,330332,United States Army Corps of Engineers,1
114,330332,Bureau of Land Management,1
114,330,Bureau of Ocean Energy Management,2
114,330,Bureau of Reclamation,2
114,330,Bureau of Land Management,9
113,124,Department of Education,7
114,330,United States Geological Survey,3
114,330,Bureau of Safety and Environmental Enforcement,1
114,330,Department of the Treasury,1
114,330,United States Coast Guard,1
114,338,Department of State,42
114,338,Department of the Treasury,2
114,332,Department of Transportation,3
114,332,Environmental Protection Agency,13
114,332,Department of Agriculture,1
114,332,Department of the Interior,4
114,332,Nuclear Regulatory Commission,13
114,332,United States Fish and Wildlife Service,3
114,332,Federal Highway Administration,1
113,102,Department of Agriculture,11
113,106,Department of Defense,71
113,173,Federal Maritime Commission,1
113,173,Environmental Protection Agency,6
114,332,United States Army Corps of Engineers,2
114,332,Energy Information Administration,1
114,338,United States Agency for International Development,7
114,332,Department of Energy,1
113,134,Department of State,91
113,128,Department of Defense,1
114,336,Library of Congress,1
114,336,Department of the Treasury,6
114,336,Department of Agriculture,1
114,336,Centers for Medicare and Medicaid Services,2
114,336,Department of Justice,3
113,128,Environmental Protection Agency,11
113,128,Department of Energy,17
114,336,Department of Health and Human Services,3
114,336,Department of Transportation,1
113,102,Agricultural Research Service,1
114,336,Internal Revenue Service,3
114,336,Department of Homeland Security,1
114,338,Department of Defense,7
114,362,Food and Drug Administration,7
114,338,United Nations,5
114,338,Environmental Protection Agency,1
113,102104,Department of Agriculture,2
114,338,United States Institute of Peace,3
114,338,Millennium Challenge Corporation,1
113,102,Federal Reserve,1
113,102,Farm Credit Administration,1
113,102,Federal Agricultural Mortgage Corporation,1
114,338,Department of Justice,1
114,338,Bureau of International Narcotics and Law Enforcement Affairs,1
114,362,Equal Employment Opportunity Commission,2
114,362,Department of Education,4
114,362,Department of Health and Human Services,2
114,362,Centers for Disease Control and Prevention,1
113,102,Department of Labor,1
114,362,National Institutes of Health,2
114,344,Environmental Protection Agency,4
114,344,Office of Management and Budget,8
114,362,Health Resources and Services Administration,1
114,362,Substance Abuse and Mental Health Services Administration,1
114,344,Consumer Product Safety Commission,1
114,344,Administrative Conference of the United States,2
114,344,Office of Personnel Management,7
113,173,Federal Transit Administration,4
113,173,Federal Highway Administration,3
113,173,United States Army Corps of Engineers,7
114,344,Department of Homeland Security,45
114,344,Department of Education,3
114,344,Department of Labor,5
114,344,Centers for Medicare and Medicaid Services,2
114,344,Department of the Interior,1
114,344,Department of Agriculture,2
114,344,Council of the Inspectors General on Integrity and Efficiency,2
114,344,Administration for Children and Families,2
114,344,United States Postal Service,4
114,344,Department of Transportation,1
114,344,General Services Administration,3
114,344,Federal Labor Relations Authority,2
114,344,Department of Justice,10
114,344,Department of State,8
114,344,Social Security Administration,6
113,104251,Department of Homeland Security,6
113,104251,Library of Congress,1
114,344,Department of the Treasury,3
114,344,Department of Commerce,1
114,344,Library of Congress,2
114,344,Office of National Drug Control Policy,7
114,344,United States Coast Guard,1
114,344,Department of Defense,1
114,344,United States Agency for International Development,1
113,173,National Highway Traffic Safety Administration,4
113,173,General Services Administration,5
113,173,National Capital Planning Commission,1
114,344,Centers for Disease Control and Prevention,2
114,344,Federal Bureau of Investigation,2
114,344,Bureau of Diplomatic Security,1
114,344,Bureau of Prisons,1
114,344,Federal Energy Regulatory Commission,1
114,344,Department of Veterans Affairs,5
114,344,Office of Special Counsel,2
114,344,Office of the Director of National Intelligence,2
114,344,National Aeronautics and Space Administration,1
114,344,Postal Regulatory Commission,3
114,344,United States Customs and Border Protection,3
114,344,Department of Health and Human Services,3
114,344,Animal and Plant Health Inspection Service,1
114,435,National Indian Gaming Commission,2
114,435,Department of Transportation,1
114,435,Bureau of Indian Affairs,10
114,435,Department of Justice,7
114,435,Federal Bureau of Investigation,1
114,435,Department of Health and Human Services,12
114,435,Department of the Interior,13
114,435,Department of Commerce,1
114,435,Small Business Administration,1
114,435,National Labor Relations Board,1
114,435,Environmental Protection Agency,2
114,435,Department of Housing and Urban Development,2
114,435,Department of Agriculture,4
113,173,Department of State,3
113,173,Department of Defense,1
113,173,Department of Justice,1
113,173,Department of Health and Human Services,2
113,173,Department of Homeland Security,4
113,173,Social Security Administration,1
114,435,Federal Communications Commission,1
114,435,Centers for Medicare and Medicaid Services,1
114,435,Administration for Children and Families,1
114,435,Department of Homeland Security,1
113,124,Department of Labor,4
114,384,Food and Drug Administration,1
114,384,Department of Labor,1
114,384,Department of Education,1
114,384,Small Business Administration,5
114,384,Department of Commerce,1
114,384,United States Patent and Trademark Office,1
114,384,Federal Emergency Management Agency,3
114,384,Department of Health and Human Services,1
114,388,Department of Defense,2
114,388,Department of Veterans Affairs,32
114,388,Department of Labor,3
114,388,Department of the Army,1
114,507,Social Security Administration,1
114,507,Federal Reserve,2
114,432,Central Intelligence Agency,2
114,432,Federal Bureau of Investigation,1
113,113,Federal Housing Administration,1
113,104134,Department of State,2
113,104134,United States Agency for International Development,3
113,104192,Department of Veterans Affairs,2
113,104138,Internal Revenue Service,1
113,104173,United States Army Corps of Engineers,1
113,104164,United States Fish and Wildlife Service,1
113,104182,National Aeronautics and Space Administration,1
113,104134,Department of Health and Human Services,2
113,104134,Centers for Disease Control and Prevention,1
113,106,National Guard Bureau,1
113,106,Joint Chiefs of Staff,3
113,106,Department of Energy,4
113,106,Department of the Navy,2
113,106,Department of the Army,3
113,106,Defense Advanced Research Projects Agency,2
113,106,Department of Labor,1
113,113,Federal Reserve,11
113,106,Missile Defense Agency,2
113,106,Defense Nuclear Facilities Safety Board,2
113,106,Special Inspector General for Afghanistan Reconstruction,1
113,106,Defense Commissary Agency,1
113,106,Department of State,1
113,106,Defense Health Agency,1
113,106,Department of the Air Force,1
113,106,National Nuclear Security Administration,1
113,106,Department of Veterans Affairs,1
113,106,National Archives and Records Administration,1
113,106,Arms Control and International Security,1
113,106,Department of Transportation,1
113,124,Equal Employment Opportunity Commission,1
113,124,Department of Health and Human Services,2
113,124,Bureau of Labor Statistics,1
113,124,National Board for Education Sciences,1
113,134,Department of Defense,19
113,124251,Department of Education,1
113,128,Energy Information Administration,2
113,128,Department of State,2
113,128,Federal Communications Commission,18
113,128,Department of Health and Human Services,20
113,128,Centers for Disease Control and Prevention,7
113,128,Department of Commerce,3
113,128,Department of Agriculture,2
113,128,Centers for Medicare and Medicaid Services,7
113,128,Nuclear Regulatory Commission,16
113,128,National Nuclear Security Administration,1
113,128,Department of Homeland Security,7
113,128,Federal Energy Regulatory Commission,13
113,128,Food and Drug Administration,17
113,128,Federal Trade Commission,8
113,128,Federal Bureau of Investigation,1
113,128,Consumer Financial Protection Bureau,1
113,128,National Institute of Standards and Technology,2
113,128,Substance Abuse and Mental Health Services Administration,3
113,128,Executive Office of the President,2
113,128,United States Army Corps of Engineers,1
113,128,Animal and Plant Health Inspection Service,2
113,128,Social Security Administration,1
113,173,National Transportation Safety Board,2
113,128,Secret Service,1
113,128,National Telecommunications and Information Administration,1
113,128,National Highway Traffic Safety Administration,2
113,173,National Oceanic and Atmospheric Administration,2
113,128,Department of Justice,2
113,128,National Institutes of Health,1
113,128,Administration for Children and Families,1
113,113,Federal Housing Finance Agency,1
113,113,Federal Deposit Insurance Corporation,8
113,113,Securities and Exchange Commission,9
113,113,Department of Homeland Security,2
113,113,Department of Defense,1
113,113,Department of Commerce,1
113,113,Department of Housing and Urban Development,5
113,113,Department of Justice,2
113,113,Export-Import Bank of the United States,4
113,113,Financial Stability Oversight Council,1
113,113,Federal Emergency Management Agency,1
113,113,Commission on Civil Rights,1
113,113,Office of the Comptroller of the Currency,3
113,113,Securities Investor Protection Corporation,1
113,113,Secret Service,1
113,113,National Credit Union Administration,1
113,134,United States Agency for International Development,35
113,134,Office of the Director of National Intelligence,2
113,184134,Department of Veterans Affairs,1
113,184134,Small Business Administration,1
113,134,Central Intelligence Agency,2
113,134,Centers for Disease Control and Prevention,2
113,134,Bureau of Industry and Security,1
113,134,Millennium Challenge Corporation,1
113,134,Bureau of Consular Affairs,1
113,134,Department of the Treasury,4
113,134,Bureau of International Narcotics and Law Enforcement Affairs,3
113,134,Broadcasting Board of Governors,3
113,134,Department of Health and Human Services,3
113,134,Department of Homeland Security,3
113,134,United States Institute of Peace,4
113,134,United Nations,5
113,134,Drug Enforcement Administration,1
113,251,Department of Homeland Security,94
113,134,National Railroad Passenger Corporation,1
