Word,abbreviation1,abbreviation2,abbreviation3,abbreviation4,abbreviation5,abbreviation6,abbreviation7,abbreviation8,abbreviation9,abbreviation10
International,Intl,Intl.,Int,Int.,Intnl,Intnl.,,,,
Investment,Invest,Invest.,,,,,,,,
Investor,Invest,Invest.,,,,,,,,
Libraries,Lib,Lib.,Librar,Librar.,,,,,,
Library,Lib,Lib.,,,,,,,,
Management,Mgmt,Mgt,Mgmt.,Mgt.,,,,,,
Mediation,Med.,Med,,,,,,,,
Metropolitan,Metro,Metro.,Metrop,Metrop.,,,,,,
Millennium,Millenn,Millenn.,,,,,,,,
Mississippi,MS,Mississ,Mississ.,,,,,,,
Mortgage,Mort,Mort.,Mortg,Mortg.,,,,,,
National,Natl,Natl.,,,,,,,,
Natural,Nat,Nat.,,,,,,,,
Nuclear,Nuc,Nuc.,,,,,,,,
Nutrition,Nutrit.,Nutrit,,,,,,,,
Occupational,Occup,Occup.,Occupat,Occupat.,,,,,,
Oceanic,Ocean,Ocean.,,,,,,,,
Office,Off,Off.,,,,,,,,
Opportunity,Opp,Opp.,,,,,,,,
Overseas,Oversea,,,,,,,,,
Pennsylvania,Penn,Penn.,,,,,,,,
Postsecondary,Postsecond,Postsecond.,,,,,,,,
Preservation,Preserv,Preserv.,,,,,,,,
President,Pres,Pres.,,,,,,,,
Prevention,Prevent,Prevent.,Prev,Prev.,,,,,,
Printing,Print,Print.,,,,,,,,
Prisons,Prison,,,,,,,,,
Product,Prod,Prod.,,,,,,,,
Projects,Project,,,,,,,,,
Protection,Protect,Protect.,Protec,Protec.,,,,,,
R&D,R & D,Research and Development,Research & Development,,,,,,,
Reclamation,Reclam,Reclam.,,,,,,,,
Reconstruction,Recon,Recon.,Reconstruc,Reconstruc.,,,,,,
Records,Record,,,,,,,,,
Regional,Reg,Reg.,,,,,,,,
Regulatory,Reg,Reg.,,,,,,,,
Reliability,Reliab,Reliab.,,,,,,,,
Renewable,Renew,Renew.,,,,,,,,
Research,Res,Res.,,,,,,,,
Resources,Res,Res.,,,,,,,,
Restoration,Restor,Restor.,,,,,,,,
Retirement,Retire,Retire.,,,,,,,,
Revenue,Rev,Rev.,,,,,,,,
Review,Rev,Rev.,,,,,,,,
Saint,St,St.,,,,,,,,
Science,Sci,Sci.,,,,,,,,
Sciences,Sci,Sci.,,,,,,,,
Secondary,Second,Second.,,,,,,,,
Secretary,Sec,Sec.,,,,,,,,
Securities,Security,Secur,Secur.,Securit,Securit.,,,,,
Security,Sec,Sec.,,,,,,,,
Service,Svc,Svc.,Ser,Ser.,Serv.,Serv,,,,
Services,Svcs,Svcs.,,,,,,,,
Settlement,Settle,Settle.,,,,,,,,
Social,Soc,Soc.,,,,,,,,
Soldiers,Soldier,,,,,,,,,
Stability,Stab,Stab.,Stabil,Stabil.,,,,,,
Supervision,Superv,Superv.,,,,,,,,
Supplementary,Supp,Supp.,Supplem,Supplem.,,,,,,
System,Sys,Sys.,,,,,,,,
Systems,System,Sys,Sys.,,,,,,,
Technology,Tech,Tech.,,,,,,,,
Tennessee,TN,,,,,,,,,
Tobacco,Tobac,Tobac.,Tobacc,Tobacc.,,,,,,
Trading,Trad,Trad.,,,,,,,,
Traffic,Traff,Traff.,,,,,,,,
Training,Trng,Trng.,,,,,,,,
Transparency,Transpar,Transpar.,Transparen,Transparen.,,,,,,
Transportation,Trans,Trans.,Transp,Transp.,,,,,,
Treasury,Treas,Treas.,,,,,,,,
U.S.,US,United States,,,,,,,,
United States,U.S.,US,,,,,,,,
Veterans,Veteran,,,,,,,,,
Washington,Wash,Wash.,,,,,,,,
