Date,Agency,JK Code,UA Code,Parent UA Code,Number of utterances made by the agencies per month
"=""01-1996""",National Labor Relations Board,242,3142,3142,0
"=""01-1996""",National Mediation Board,240,3140,3140,0
"=""01-1996""",National Science Foundation,243,3145,3145,0
"=""01-1996""",National Transportation Safety Board,244,3147,3147,0
"=""01-1996""",Nuclear Regulatory Commission,245,3150,3150,0
"=""01-1996""",Office of Management and Budget,3,348,300,0
"=""01-1996""",Office of Personnel Management,251,3206,3206,0
"=""01-1996""",Panama Canal Commission,252,3207,3207,0
"=""01-1996""",Peace Corps,9,420,420,0
"=""01-1996""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""01-1996""",Postal Regulatory Commission,256,3211,3211,0
"=""01-1996""",Railroad Retirement Board,259,3220,3220,0
"=""01-1996""",Securities and Exchange Commission,261,3235,3235,0
"=""01-1996""",Selective Service System,262,3240,3240,0
"=""01-1996""",Small Business Administration,263,3245,3245,0
"=""01-1996""",Smithsonian Institution,264,3250,3250,0
"=""01-1996""",Social Security Administration,71,960,960,0
"=""01-1996""",Tennessee Valley Authority,267,3316,3316,0
"=""01-1996""",U.S. Coast Guard,131,1625,1600,0
"=""01-1996""",U.S. Coast Guard,177,2115,2100,0
"=""01-1996""",U.S. Information Agency,229,3116,3116,0
"=""01-1996""",United States Agency for International Development,7,412,412,0
"=""01-1996""",United States International Trade Commission,230,3117,3117,0
"=""01-1996""",United States Postal Service,255,3210,3210,0
"=""01-1997""",Broadcasting Board of Governors,228,3112,3112,0
"=""01-1997""",Commission on Civil Rights,208,3035,3035,0
"=""01-1997""",Commodities Futures Trading Commission,210,3038,3038,0
"=""01-1997""",Consumer Product Safety Commission,211,3041,3041,0
"=""01-1997""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""01-1997""",Department of Agriculture,11,500,500,37
"=""01-1997""",Department of Commerce,33,600,600,0
"=""01-1997""",Department of Defense,45,700,700,0
"=""01-1997""",Department of Education,140,1800,1800,0
"=""01-1997""",Department of Energy,154,1900,1900,0
"=""01-1997""",Department of Health and Human Services,53,900,900,0
"=""01-1997""",Department of Homeland Security,127,1600,1600,0
"=""01-1997""",Department of Housing and Urban Development,191,2500,2500,0
"=""01-1997""",Department of Justice,88,1100,1100,0
"=""01-1997""",Department of Labor,98,1200,1200,0
"=""01-1997""",Department of State,113,1400,1400,0
"=""01-1997""",Department of the Air Force,46,701,700,0
"=""01-1997""",Department of the Army,47,702,700,0
"=""01-1997""",Department of the Interior,72,1000,1000,32
"=""01-1997""",Department of the Navy,48,703,700,0
"=""01-1997""",Department of the Treasury,114,1500,1500,0
"=""01-1997""",Department of Transportation,176,2100,2100,70
"=""01-1997""",Department of Veterans Affairs,200,2900,2900,90
"=""01-1997""",Environmental Protection Agency,164,2000,2000,0
"=""01-1997""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""01-1997""",Export-Import Bank of the United States,214,3048,3048,0
"=""01-1997""",Farm Credit Administration,215,3052,3052,0
"=""01-1997""",Federal Communications Commission,217,3060,3060,0
"=""01-1997""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""01-1997""",Federal Emergency Management Agency,139,1660,1600,0
"=""01-1997""",Federal Housing Finance Agency,198,2590,2590,0
"=""01-1997""",Federal Housing Finance Agency,219,3069,3069,0
"=""01-1997""",Federal Labor Relations Authority,220,3070,3070,0
"=""01-1997""",Federal Maritime Commission,221,3072,3072,0
"=""01-1997""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""01-1997""",Federal Reserve ,276,7100,7100,0
"=""01-1997""",Federal Trade Commission,224,3084,3084,0
"=""01-1997""",General Services Administration,225,3090,3090,0
"=""01-1997""",Inter-American Foundation,8,417,417,0
"=""01-1997""",Interstate Commerce Commission,231,3120,3120,0
"=""01-1997""",Merit Systems Protection Board,233,3124,3124,0
"=""01-1997""",National Aeronautics and Space Administration,199,2700,2700,0
"=""01-1997""",National Archives and Records Administration,226,3095,3095,0
"=""01-1997""",National Council on Disability,273,3480,3480,0
"=""01-1997""",National Credit Union Administration,235,3133,3133,0
"=""01-1997""",National Labor Relations Board,242,3142,3142,0
"=""01-1997""",National Mediation Board,240,3140,3140,0
"=""01-1997""",National Science Foundation,243,3145,3145,0
"=""01-1997""",National Transportation Safety Board,244,3147,3147,0
"=""01-1997""",Nuclear Regulatory Commission,245,3150,3150,0
"=""01-1997""",Office of Management and Budget,3,348,300,0
"=""01-1997""",Office of Personnel Management,251,3206,3206,0
"=""01-1997""",Panama Canal Commission,252,3207,3207,0
"=""01-1997""",Peace Corps,9,420,420,0
"=""01-1997""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""01-1997""",Postal Regulatory Commission,256,3211,3211,0
"=""01-1997""",Railroad Retirement Board,259,3220,3220,0
"=""01-1997""",Securities and Exchange Commission,261,3235,3235,0
"=""01-1997""",Selective Service System,262,3240,3240,0
"=""01-1997""",Small Business Administration,263,3245,3245,0
"=""01-1997""",Smithsonian Institution,264,3250,3250,0
"=""01-1997""",Social Security Administration,71,960,960,0
"=""01-1997""",Tennessee Valley Authority,267,3316,3316,0
"=""01-1997""",U.S. Coast Guard,131,1625,1600,0
"=""01-1997""",U.S. Coast Guard,177,2115,2100,0
"=""01-1997""",U.S. Information Agency,229,3116,3116,0
"=""01-1997""",United States Agency for International Development,7,412,412,0
"=""01-1997""",United States International Trade Commission,230,3117,3117,0
"=""01-1997""",United States Postal Service,255,3210,3210,0
"=""01-1998""",Broadcasting Board of Governors,228,3112,3112,0
"=""01-1998""",Commission on Civil Rights,208,3035,3035,0
"=""01-1998""",Commodities Futures Trading Commission,210,3038,3038,0
"=""01-1998""",Consumer Product Safety Commission,211,3041,3041,0
"=""01-1998""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""01-1998""",Department of Agriculture,11,500,500,0
"=""01-1998""",Department of Commerce,33,600,600,0
"=""01-1998""",Department of Defense,45,700,700,0
"=""01-1998""",Department of Education,140,1800,1800,0
"=""01-1998""",Department of Energy,154,1900,1900,0
"=""01-1998""",Department of Health and Human Services,53,900,900,95
"=""01-1998""",Department of Homeland Security,127,1600,1600,0
"=""01-1998""",Department of Housing and Urban Development,191,2500,2500,0
"=""01-1998""",Department of Justice,88,1100,1100,0
"=""01-1998""",Department of Labor,98,1200,1200,0
"=""01-1998""",Department of State,113,1400,1400,0
"=""01-1998""",Department of the Air Force,46,701,700,0
"=""01-1998""",Department of the Army,47,702,700,0
"=""01-1998""",Department of the Interior,72,1000,1000,18
"=""01-1998""",Department of the Navy,48,703,700,0
"=""01-1998""",Department of the Treasury,114,1500,1500,0
"=""01-1998""",Department of Transportation,176,2100,2100,48
"=""01-1998""",Department of Veterans Affairs,200,2900,2900,0
"=""01-1998""",Environmental Protection Agency,164,2000,2000,0
"=""01-1998""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""01-1998""",Export-Import Bank of the United States,214,3048,3048,0
"=""01-1998""",Farm Credit Administration,215,3052,3052,0
"=""01-1998""",Federal Communications Commission,217,3060,3060,0
"=""01-1998""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""01-1998""",Federal Emergency Management Agency,139,1660,1600,0
"=""01-1998""",Federal Housing Finance Agency,198,2590,2590,0
"=""01-1998""",Federal Housing Finance Agency,219,3069,3069,0
"=""01-1998""",Federal Labor Relations Authority,220,3070,3070,0
"=""01-1998""",Federal Maritime Commission,221,3072,3072,0
"=""01-1998""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""01-1998""",Federal Reserve ,276,7100,7100,0
"=""01-1998""",Federal Trade Commission,224,3084,3084,0
"=""01-1998""",General Services Administration,225,3090,3090,0
"=""01-1998""",Inter-American Foundation,8,417,417,0
"=""01-1998""",Interstate Commerce Commission,231,3120,3120,0
"=""01-1998""",Merit Systems Protection Board,233,3124,3124,0
"=""01-1998""",National Aeronautics and Space Administration,199,2700,2700,0
"=""01-1998""",National Archives and Records Administration,226,3095,3095,0
"=""01-1998""",National Council on Disability,273,3480,3480,0
"=""01-1998""",National Credit Union Administration,235,3133,3133,0
"=""01-1998""",National Labor Relations Board,242,3142,3142,0
"=""01-1998""",National Mediation Board,240,3140,3140,0
"=""01-1998""",National Science Foundation,243,3145,3145,0
"=""01-1998""",National Transportation Safety Board,244,3147,3147,0
"=""01-1998""",Nuclear Regulatory Commission,245,3150,3150,0
"=""01-1998""",Office of Management and Budget,3,348,300,0
"=""01-1998""",Office of Personnel Management,251,3206,3206,0
"=""01-1998""",Panama Canal Commission,252,3207,3207,0
"=""01-1998""",Peace Corps,9,420,420,0
"=""01-1998""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""01-1998""",Postal Regulatory Commission,256,3211,3211,0
"=""01-1998""",Railroad Retirement Board,259,3220,3220,0
"=""01-1998""",Securities and Exchange Commission,261,3235,3235,0
"=""01-1998""",Selective Service System,262,3240,3240,0
"=""01-1998""",Small Business Administration,263,3245,3245,0
"=""01-1998""",Smithsonian Institution,264,3250,3250,0
"=""01-1998""",Social Security Administration,71,960,960,0
"=""01-1998""",Tennessee Valley Authority,267,3316,3316,0
"=""01-1998""",U.S. Coast Guard,131,1625,1600,0
"=""01-1998""",U.S. Coast Guard,177,2115,2100,0
"=""01-1998""",U.S. Information Agency,229,3116,3116,0
"=""01-1998""",United States Agency for International Development,7,412,412,0
"=""01-1998""",United States International Trade Commission,230,3117,3117,0
"=""01-1998""",United States Postal Service,255,3210,3210,0
"=""01-1999""",Broadcasting Board of Governors,228,3112,3112,0
"=""01-1999""",Commission on Civil Rights,208,3035,3035,0
"=""01-1999""",Commodities Futures Trading Commission,210,3038,3038,0
"=""01-1999""",Consumer Product Safety Commission,211,3041,3041,0
"=""01-1999""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""01-1999""",Department of Agriculture,11,500,500,0
"=""01-1999""",Department of Commerce,33,600,600,0
"=""01-1999""",Department of Defense,45,700,700,0
"=""01-1999""",Department of Education,140,1800,1800,0
"=""01-1999""",Department of Energy,154,1900,1900,0
"=""01-1999""",Department of Health and Human Services,53,900,900,0
"=""01-1999""",Department of Homeland Security,127,1600,1600,0
"=""01-1999""",Department of Housing and Urban Development,191,2500,2500,0
"=""01-1999""",Department of Justice,88,1100,1100,0
"=""01-1999""",Department of Labor,98,1200,1200,0
"=""01-1999""",Department of State,113,1400,1400,0
"=""01-1999""",Department of the Air Force,46,701,700,0
"=""01-1999""",Department of the Army,47,702,700,0
"=""01-1999""",Department of the Interior,72,1000,1000,0
"=""01-1999""",Department of the Navy,48,703,700,0
"=""01-1999""",Department of the Treasury,114,1500,1500,0
"=""01-1999""",Department of Transportation,176,2100,2100,0
"=""01-1999""",Department of Veterans Affairs,200,2900,2900,0
"=""01-1999""",Environmental Protection Agency,164,2000,2000,0
"=""01-1999""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""01-1999""",Export-Import Bank of the United States,214,3048,3048,0
"=""01-1999""",Farm Credit Administration,215,3052,3052,0
"=""01-1999""",Federal Communications Commission,217,3060,3060,0
"=""01-1999""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""01-1999""",Federal Emergency Management Agency,139,1660,1600,0
"=""01-1999""",Federal Housing Finance Agency,198,2590,2590,0
"=""01-1999""",Federal Housing Finance Agency,219,3069,3069,0
"=""01-1999""",Federal Labor Relations Authority,220,3070,3070,0
"=""01-1999""",Federal Maritime Commission,221,3072,3072,0
"=""01-1999""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""01-1999""",Federal Reserve ,276,7100,7100,0
"=""01-1999""",Federal Trade Commission,224,3084,3084,0
"=""01-1999""",General Services Administration,225,3090,3090,0
"=""01-1999""",Inter-American Foundation,8,417,417,0
"=""01-1999""",Interstate Commerce Commission,231,3120,3120,0
"=""01-1999""",Merit Systems Protection Board,233,3124,3124,0
"=""01-1999""",National Aeronautics and Space Administration,199,2700,2700,0
"=""01-1999""",National Archives and Records Administration,226,3095,3095,0
"=""01-1999""",National Council on Disability,273,3480,3480,0
"=""01-1999""",National Credit Union Administration,235,3133,3133,0
"=""01-1999""",National Labor Relations Board,242,3142,3142,0
"=""01-1999""",National Mediation Board,240,3140,3140,0
"=""01-1999""",National Science Foundation,243,3145,3145,0
"=""01-1999""",National Transportation Safety Board,244,3147,3147,0
"=""01-1999""",Nuclear Regulatory Commission,245,3150,3150,0
"=""01-1999""",Office of Management and Budget,3,348,300,0
"=""01-1999""",Office of Personnel Management,251,3206,3206,0
"=""01-1999""",Panama Canal Commission,252,3207,3207,0
"=""01-1999""",Peace Corps,9,420,420,0
"=""01-1999""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""01-1999""",Postal Regulatory Commission,256,3211,3211,0
"=""01-1999""",Railroad Retirement Board,259,3220,3220,0
"=""01-1999""",Securities and Exchange Commission,261,3235,3235,0
"=""01-1999""",Selective Service System,262,3240,3240,0
"=""01-1999""",Small Business Administration,263,3245,3245,0
"=""01-1999""",Smithsonian Institution,264,3250,3250,0
"=""01-1999""",Social Security Administration,71,960,960,0
"=""01-1999""",Tennessee Valley Authority,267,3316,3316,0
"=""01-1999""",U.S. Coast Guard,131,1625,1600,0
"=""01-1999""",U.S. Coast Guard,177,2115,2100,0
"=""01-1999""",U.S. Information Agency,229,3116,3116,0
"=""01-1999""",United States Agency for International Development,7,412,412,0
"=""01-1999""",United States International Trade Commission,230,3117,3117,0
"=""01-1999""",United States Postal Service,255,3210,3210,0
"=""01-2000""",Broadcasting Board of Governors,228,3112,3112,0
"=""01-2000""",Commission on Civil Rights,208,3035,3035,0
"=""01-2000""",Commodities Futures Trading Commission,210,3038,3038,0
"=""01-2000""",Consumer Product Safety Commission,211,3041,3041,0
"=""01-2000""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""01-2000""",Department of Agriculture,11,500,500,0
"=""01-2000""",Department of Commerce,33,600,600,0
"=""01-2000""",Department of Defense,45,700,700,59
"=""01-2000""",Department of Education,140,1800,1800,0
"=""01-2000""",Department of Energy,154,1900,1900,0
"=""01-2000""",Department of Health and Human Services,53,900,900,0
"=""01-2000""",Department of Homeland Security,127,1600,1600,0
"=""01-2000""",Department of Housing and Urban Development,191,2500,2500,0
"=""01-2000""",Department of Justice,88,1100,1100,0
"=""01-2000""",Department of Labor,98,1200,1200,0
"=""01-2000""",Department of State,113,1400,1400,0
"=""01-2000""",Department of the Air Force,46,701,700,0
"=""01-2000""",Department of the Army,47,702,700,0
"=""01-2000""",Department of the Interior,72,1000,1000,5
"=""01-2000""",Department of the Navy,48,703,700,0
"=""01-2000""",Department of the Treasury,114,1500,1500,0
"=""01-2000""",Department of Transportation,176,2100,2100,0
"=""01-2000""",Department of Veterans Affairs,200,2900,2900,0
"=""01-2000""",Environmental Protection Agency,164,2000,2000,8
"=""01-2000""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""01-2000""",Export-Import Bank of the United States,214,3048,3048,0
"=""01-2000""",Farm Credit Administration,215,3052,3052,0
"=""01-2000""",Federal Communications Commission,217,3060,3060,0
"=""01-2000""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""01-2000""",Federal Emergency Management Agency,139,1660,1600,0
"=""01-2000""",Federal Housing Finance Agency,198,2590,2590,0
"=""01-2000""",Federal Housing Finance Agency,219,3069,3069,0
"=""01-2000""",Federal Labor Relations Authority,220,3070,3070,0
"=""01-2000""",Federal Maritime Commission,221,3072,3072,0
"=""01-2000""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""01-2000""",Federal Reserve ,276,7100,7100,0
"=""01-2000""",Federal Trade Commission,224,3084,3084,0
"=""01-2000""",General Services Administration,225,3090,3090,0
"=""01-2000""",Inter-American Foundation,8,417,417,0
"=""01-2000""",Interstate Commerce Commission,231,3120,3120,0
"=""01-2000""",Merit Systems Protection Board,233,3124,3124,0
"=""01-2000""",National Aeronautics and Space Administration,199,2700,2700,0
"=""01-2000""",National Archives and Records Administration,226,3095,3095,0
"=""01-2000""",National Council on Disability,273,3480,3480,0
"=""01-2000""",National Credit Union Administration,235,3133,3133,0
"=""01-2000""",National Labor Relations Board,242,3142,3142,0
"=""01-2000""",National Mediation Board,240,3140,3140,0
"=""01-2000""",National Science Foundation,243,3145,3145,0
"=""01-2000""",National Transportation Safety Board,244,3147,3147,0
"=""01-2000""",Nuclear Regulatory Commission,245,3150,3150,0
"=""01-2000""",Office of Management and Budget,3,348,300,0
"=""01-2000""",Office of Personnel Management,251,3206,3206,0
"=""01-2000""",Panama Canal Commission,252,3207,3207,0
"=""01-2000""",Peace Corps,9,420,420,0
"=""01-2000""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""01-2000""",Postal Regulatory Commission,256,3211,3211,0
"=""01-2000""",Railroad Retirement Board,259,3220,3220,0
"=""01-2000""",Securities and Exchange Commission,261,3235,3235,0
"=""01-2000""",Selective Service System,262,3240,3240,0
"=""01-2000""",Small Business Administration,263,3245,3245,0
"=""01-2000""",Smithsonian Institution,264,3250,3250,0
"=""01-2000""",Social Security Administration,71,960,960,0
"=""01-2000""",Tennessee Valley Authority,267,3316,3316,0
"=""01-2000""",U.S. Coast Guard,131,1625,1600,0
"=""01-2000""",U.S. Coast Guard,177,2115,2100,0
"=""01-2000""",U.S. Information Agency,229,3116,3116,0
"=""01-2000""",United States Agency for International Development,7,412,412,0
"=""01-2000""",United States International Trade Commission,230,3117,3117,0
"=""01-2000""",United States Postal Service,255,3210,3210,0
"=""01-2001""",Broadcasting Board of Governors,228,3112,3112,0
"=""01-2001""",Commission on Civil Rights,208,3035,3035,0
"=""01-2001""",Commodities Futures Trading Commission,210,3038,3038,0
"=""01-2001""",Consumer Product Safety Commission,211,3041,3041,0
"=""01-2001""",Court Services and Offender Supervision Agency,260,3225,3225,0
"=""01-2001""",Department of Agriculture,11,500,500,51
"=""01-2001""",Department of Commerce,33,600,600,26
"=""01-2001""",Department of Defense,45,700,700,0
"=""01-2001""",Department of Education,140,1800,1800,0
"=""01-2001""",Department of Energy,154,1900,1900,0
"=""01-2001""",Department of Health and Human Services,53,900,900,0
"=""01-2001""",Department of Homeland Security,127,1600,1600,0
"=""01-2001""",Department of Housing and Urban Development,191,2500,2500,0
"=""01-2001""",Department of Justice,88,1100,1100,0
"=""01-2001""",Department of Labor,98,1200,1200,0
"=""01-2001""",Department of State,113,1400,1400,0
"=""01-2001""",Department of the Air Force,46,701,700,0
"=""01-2001""",Department of the Army,47,702,700,0
"=""01-2001""",Department of the Interior,72,1000,1000,0
"=""01-2001""",Department of the Navy,48,703,700,0
"=""01-2001""",Department of the Treasury,114,1500,1500,0
"=""01-2001""",Department of Transportation,176,2100,2100,93
"=""01-2001""",Department of Veterans Affairs,200,2900,2900,0
"=""01-2001""",Environmental Protection Agency,164,2000,2000,27
"=""01-2001""",Equal Employment Opportunity Commission,213,3046,3046,0
"=""01-2001""",Export-Import Bank of the United States,214,3048,3048,0
"=""01-2001""",Farm Credit Administration,215,3052,3052,0
"=""01-2001""",Federal Communications Commission,217,3060,3060,0
"=""01-2001""",Federal Deposit Insurance Corporation,218,3064,3064,0
"=""01-2001""",Federal Emergency Management Agency,139,1660,1600,3
"=""01-2001""",Federal Housing Finance Agency,198,2590,2590,0
"=""01-2001""",Federal Housing Finance Agency,219,3069,3069,0
"=""01-2001""",Federal Labor Relations Authority,220,3070,3070,0
"=""01-2001""",Federal Maritime Commission,221,3072,3072,0
"=""01-2001""",Federal Mediation and Conciliation Service,222,3076,3076,0
"=""01-2001""",Federal Reserve ,276,7100,7100,0
"=""01-2001""",Federal Trade Commission,224,3084,3084,0
"=""01-2001""",General Services Administration,225,3090,3090,0
"=""01-2001""",Inter-American Foundation,8,417,417,0
"=""01-2001""",Interstate Commerce Commission,231,3120,3120,0
"=""01-2001""",Merit Systems Protection Board,233,3124,3124,0
"=""01-2001""",National Aeronautics and Space Administration,199,2700,2700,0
"=""01-2001""",National Archives and Records Administration,226,3095,3095,0
"=""01-2001""",National Council on Disability,273,3480,3480,0
"=""01-2001""",National Credit Union Administration,235,3133,3133,0
"=""01-2001""",National Labor Relations Board,242,3142,3142,0
"=""01-2001""",National Mediation Board,240,3140,3140,0
"=""01-2001""",National Science Foundation,243,3145,3145,0
"=""01-2001""",National Transportation Safety Board,244,3147,3147,0
"=""01-2001""",Nuclear Regulatory Commission,245,3150,3150,0
"=""01-2001""",Office of Management and Budget,3,348,300,0
"=""01-2001""",Office of Personnel Management,251,3206,3206,0
"=""01-2001""",Panama Canal Commission,252,3207,3207,0
"=""01-2001""",Peace Corps,9,420,420,0
"=""01-2001""",Pension Benefit Guaranty Corporation,112,1212,1212,0
"=""01-2001""",Postal Regulatory Commission,256,3211,3211,0
"=""01-2001""",Railroad Retirement Board,259,3220,3220,0
"=""01-2001""",Securities and Exchange Commission,261,3235,3235,0
"=""01-2001""",Selective Service System,262,3240,3240,0
"=""01-2001""",Small Business Administration,263,3245,3245,0
"=""01-2001""",Smithsonian Institution,264,3250,3250,0
"=""01-2001""",Social Security Administration,71,960,960,0
"=""01-2001""",Tennessee Valley Authority,267,3316,3316,0
"=""01-2001""",U.S. Coast Guard,131,1625,1600,0
