"","Category","Senate.Hearing.Number","Congress","Committees","Committee_Blanks","Title","Collection","Filename","Held.Date","Congress.Chamber","Hearing.Sub.Type","ILS.System.ID","SuDoc.Class.Number","X","Witnesses","Members.of.the.congress","File.exists","heldDate","Scrapped.witnesses","Agency","JK.code","UA.code","Parent.UA.code","US.State","Inspector.General","subCommittee","Committee.member.count","Denominator.count","Party.count.100.200.328.999.9999.","Party...Committee.info.Party.Senior.Party.Member.Committee.Seniority","Expertise"
"9990","Congressional Committee Materials","S. Hrg. 110-369","110th","308",NA,"S. HRG. 110-369 - THE STATE OF THE UNITED STATES ARMY","Congressional Hearings","CHRG-110shrg42289","15-Nov-07","Senate","General",NA,"Y 4.2",NA,"Refer column R","Robert C. Byrd : United States Senate;

John Warner : United States Senate;

Jeff Sessions : United States Senate;

John Cornyn : United States Senate;

Edward M. Kennedy : United States Senate;

John Thune : United States Senate;

James M. Inhofe : United States Senate;

Susan M. Collins : United States Senate;

Carl Levin : United States Senate;

reed, john freed, jack;

Jim Webb : United States Senate;

Daniel K. Akaka : United States Senate;

Evan Bayh : United States Senate;

martinez, melquiades r mel;","Yes","15-11-2007","The State of the United States Army november 15, 2007 Page Geren, Hon. Preston M. ``Pete'', III, Secretary of the Army

Casey, GEN George W., Jr., USA, Chief of Staff, United States Army

(iii) ","-

-

-","-

-

-","-

-

-","-

-

-","-

-

-","No

No

No","-",14,"27","12:14:1:-:-","---

---

---

---

---

---

---

---

---

---

---

---

---

---","-"
"19828","Congressional Committee Materials",NA,"111th","134",NA,"HOUSE HEARING, 111TH CONGRESS - HUMAN RIGHTS AND DEMOCRACY ASSISTANCE: INCREASING THE EFFECTIVENESS OF U.S. FOREIGN AID","Congressional Hearings","CHRG-111hhrg56888","10-Jun-10","House of Representatives","General",NA,"Y 4.F 76/1",NA,"Thomas Carothers J.D. : Vice President for Studies Carnegie Endowment for International Peace;

Ms. Jennifer L. Windsor Executive Director : Freedom House;

Elisa Massimino J.D. : President and Chief Executive Officer Human Rights First;

The Honorable Lorne W. Craner President : International Republican Institute (Former Assistant Secretary of State for Democracy Human Rights and Labor);","deutsch, peterdeutch, theodore e;

Keith Ellison : United States House of Representatives;

Brad Sherman : United States House of Representatives;

Russ Carnahan : United States House of Representatives;

Barbara Lee : United States House of Representatives;

royce, ed;

Dana Rohrabacher : United States House of Representatives;

Gene Green : United States House of Representatives;

Donald M. Payne : United States House of Representatives;

Michael E. McMahon : United States House of Representatives;

Diane E. Watson : United States House of Representatives;

Howard L. Berman : United States House of Representatives;

Sheila Jackson Lee : United States House of Representatives;

Jeff Flake : United States House of Representatives;

David Scott : United States House of Representatives;

Lynn C. Woolsey : United States House of Representatives;

Gerald E. Connolly : United States House of Representatives;","Yes","10/6/10","-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","No

No

No

No","-",17,"49","30:19:-:-:-","---

---

---

---

---

200:0:9

---

---

---

---

---

---

---

---

---

---

---","J.D. : Juris Doctorate, a law degree

-

J.D. : Juris Doctorate, a law degree

-"
"24035","Congressional Committee Materials",NA,"111th","106",NA,"HOUSE HEARING, 111TH CONGRESS - [H.A.S.C. NO. 111-6 ] ADDRESSING U.S. STRATEGY IN IRAQ AND AFGHANISTAN: BALANCING INTERESTS AND RESOURCES","Congressional Hearings","CHRG-111hhrg54381","12-Feb-09","House of Representatives","General","715127",NA,NA,"Keane Gen. John M. : USA (Ret.) Former Vice Chief of Staff U.S. Army;

Cordesman Dr. Anthony : Arleigh A. Burke Chair in Strategy Center for Strategic and International Studies;

Biddle Dr. Stephen : Senior Fellow for Defense Policy Council on Foreign Relations;","Thomas J. Rooney : United States House of Representatives;

forbes, j randy;

Ike Skelton : United States House of Representatives;

Robert J. Wittman : United States House of Representatives;

Susan A. Davis : United States House of Representatives;

Roscoe G. Bartlett : United States House of Representatives;

Vic Snyder : United States House of Representatives;

Duncan Hunter : United States House of Representatives;

Gene Taylor : United States House of Representatives;

John M. McHugh : United States House of Representatives;

Robert E. Andrews : United States House of Representatives;

mckeon, howard p buck;","Yes","12/2/09","-","-

-

-","-

-

-","-

-

-","-

-

-","-

-

-","No

No

No","-",12,"69","43:26:-:-:-","---

---

---

---

---

---

---

---

---

---

---

---","-

-

-"
"9110","Congressional Committee Materials","S. Hrg. 109-1112","109th","321",NA,"S. HRG. 109-1112 - TRANSPORTATION SECURITY ADMINISTRATION'S TRANSPORTATION WORKER IDENTIFICATION CREDENTIAL (TWIC) PROGRAM","Congressional Hearings","CHRG-109shrg64227","16-May-06","Senate","General","797431","Y 4.C 73/7:S.HRG.109-1112",NA,"Himber Lisa B. : Vice President Maritime Exchange for the Delaware River and Bay; Vice-Chair National Maritime Security Advisory Committee (NMSAC);

Cummings George P. : Director of Homeland Security Port of Los Angeles City of Los Angeles Harbor Department;

Willis Larry I. : General Counsel Transportation Trades Department AFL-CIO;

Jackson Hon. Michael P. : Deputy Secretary Department of Homeland Security;","Mark L. Pryor : United States Senate;

Daniel K. Inouye : United States Senate;

Ted Stevens : United States Senate;","Yes","16-05-2006","-","#NAME?","-127","-1600","-1600","Delaware

-

-

-","No

No

No

No","-",3,"22","10:12:-:-:-","---

---

---","-

-

-

-"
"23080","Congressional Committee Materials",NA,"110th","113",NA,"HOUSE HEARING, 110TH CONGRESS - OVERDRAFT PROTECTION: FAIR PRACTICES FOR CONSUMERS","Congressional Hearings","CHRG-110hhrg38389","11-Jul-07","House of Representatives","General",NA,"Y 4.F 49/20",NA,"Ireland Oliver I. : Partner Morrison & Foerster LLP;

Feddis Nessa : Senior Federal Counsel American Bankers Association;

Cunningham Mary : President & CEO USA Federal Credit Union on behalf of the Credit Union National Association;

Halperin Eric : Director Washington Office Center for Responsible Lending;

Fox Jean Ann : Director of Consumer Protection Consumer Federation of America;

Wu Chi Chi : Staff Attorney National Consumer Law Center;

Ludwig Sarah : Executive Director Neighborhood Economic Development Advocacy Project;","Tom Price : United States House of Representatives;

Carolyn B. Maloney : United States House of Representatives;

Al Green : United States House of Representatives;

David Scott : United States House of Representatives;

Paul E. Gillmor : United States House of Representatives;","Yes","11/7/07","-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

-

-

-

-","-

-

-

Washington

-

-

-","No

No

No

No

No

No

No","Subcommittee on Financial Institutions and Consumer Credit",5,"79","42:37:-:-:-","---

---

---

---

---","-

-

-

-

-

-

-"
"11980","Congressional Committee Materials",NA,"112th","251",NA,"HOUSE HEARING, 112TH CONGRESS - HOMELAND SECURITY INVESTIGATIONS: EXAMINING DHS'S EFFORTS TO PROTECT AMERICAN JOBS AND SECURE THE HOMELAND","Congressional Hearings","CHRG-112hhrg72254","7-Jul-11","House of Representatives","General","867627","Y 4.H 75:112-34",NA,"Mr. Michael Russo Director : Global Security and Product Protection Eli Lilly and Company: Oral Statement;

Mr. Mario Mancuso Partner : Fried Frank Harris Shriver & Jacobson LLP: Oral Statement;

Mr. Brian Toohey President : Semiconductor Industry Association: Oral Statement;

Ms. Jena Baker McNeill Private Citizen: Oral Statement : nan;","Bennie G. Thompson : United States House of Representatives;

Billy Long : United States House of Representatives;

Jeff Duncan : United States House of Representatives;

Michael T. McCaul : United States House of Representatives;","Yes","7/7/11","-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","-

-

-

-","No

No

No

No","Subcommittee on Oversight, Investigations, and Management",4,"37","17:20:-:-:-","---

---

---

---","-

-

-

-"
"15754","Congressional Committee Materials",NA,"108th","164",NA,"HOUSE HEARING, 108TH CONGRESS - H.R. 39, ARCTIC COASTAL PLAIN DOMESTIC ENERGY SECURITY ACT OF 2003; AND H.R. 770, MORRIS K. UDALL ARCTIC WILDERNESS ACT","Congressional Hearings","CHRG-108hhrg86329","January 8, 2003

April 5, 2003","House of Representatives","General",NA,"Y 4.R 31/3",NA,"Sonsalla Hon. Lon : Mayor Kaktovik Alaska;

Tagarook Hon. George : City Council Member and Former Mayor Kaktovik Alaska;

Murkowski Hon. Frank : Governor State of Alaska;

Akootchook Reverend Isaac : President Kaktovik Native Village Kaktovik Alaska;

Kaleak George : Sr. Whaling Co-Captain and Member Native Village of Kaktovik Council;

Aishanna Hon. Herman : City Council Member and Former Mayor Kaktovik Alaska;

Thompson Robert : Resident Kaktovik Alaska;

VanHatten Morgan : Student Kaveolook School Kaktovik Alaska;

Ahmaogak Hon. George : Mayor North Slope Borough;","Richard W. Pombo : United States House of Representatives;

Devin Nunes : United States House of Representatives;

bordallo, madeleine z;

George Miller : United States House of Representatives;

Dennis R. Rehberg : United States House of Representatives;

Rick Renzi : United States House of Representatives;","Yes","2003-01-08;

2003-04-05","-","-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-","-

-

-

-

-

-

-

-

-","Alaska

Alaska

Alaska

Alaska

-

Alaska

Alaska

Alaska

-","No

No

No

No

No

No

No

No

No","-",6,"57","27:30:-:-:-","---

---

---

---

---

---","-

-

-

-

-

-

-

-

-"
"7775","Congressional Committee Materials","S. Hrg. 107-351","107th","330",NA,"S. HRG. 107-351 - KATHLEEN CLARKE NOMINATION","Congressional Hearings","CHRG-107shrg78372","14-Nov-01","Senate","Nomination",NA,"Y 4.EN 2",NA,"-","Ron Wyden : United States Senate;

Gordon H. Smith : United States Senate;

Craig Thomas : United States Senate;

Jeff Bingaman : United States Senate;

hatch, orrin g;

bennett, robert f;

Larry E. Craig : United States Senate;

Pete V. Domenici : United States Senate;

Conrad R. Burns : United States Senate;

Frank H. Murkowski : United States Senate;","Yes","14-11-2001","-","-","-","-","-","-","-","-",10,"23","12:11:-:-:-","---

---

---

---

---

---

---

---

---

---","-"
"5783","Congressional Committee Materials","S. Hrg. 109-246","109th","344",NA,"S. HRG. 109-246 - THE DEFENSE TRAVEL SYSTEM: BOON OR BOONDOGGLE? (PART 2)","Congressional Hearings","CHRG-109shrg32354","16-Nov-06","Senate","General",NA,"Y 4.G 74/9",NA,"McCoy Williams Director : Financial Management and Assurance Team Government Accountability Office;

Thomas F. Gimble Acting Inspector General : U.S. Department of Defense;

Hon. David S.C. Chu Ph.D. : Under Secretary for Personnel and Readiness U.S. Department of Defense;","Norm Coleman : United States Senate;

coburn, tom acoburn, thomas allen;

Carl Levin : United States Senate;

carper, thomas richard;","Yes","16-11-2006","-","#NAME?","-

45

45","-

700.0

700.0","-

700.0

700.0","#NAME?","No

Yes

No","Permanent Subcommittee on Investigations",4,"16","7:9:-:-:-","---

---

---

100:0:5","#NAME?"
"4745","Congressional Committee Materials","S. Hrg. 109-390","109th","358",NA,"S. HRG. 109-390 - NOMINATIONS OF JAMES O'GARA, TO BE DEPUTY DIRECTOR FOR SUPPLY REDUCTION, OFFICE OF NATIONAL DRUG CONTROL POLICY; JULIE MYERS, TO BE ASSISTANT SECRETARY FOR IMMIGRATION AND CUSTOMS ENFORCEMENT, DEPARTMENT OF HOMELAND SECURITY; AND EMILIO GONZALEZ, TO BE DIRECTOR OF THE BUREAU OF CITIZENSHIP AND IMMIGRATION SERVICES, DEPARTMENT OF HOMELAND SECURITY","Congressional Hearings","CHRG-109shrg27442","18-Oct-05","Senate","Nomination",NA,"Y 4.J 89/2",NA,"-","John Cornyn : United States Senate;

Patrick J. Leahy : United States Senate;

coburn, tom acoburn, thomas allen;

martinez, melquiades r mel;","Yes","18-10-2005","-","-","-","-","-","-","-","-",4,"18","8:10:-:-:-","---

---

---

---","-"
"17744","Congressional Committee Materials",NA,"108th","142",NA,"HOUSE HEARING, 108TH CONGRESS - H.R. 4863, TO ESTABLISH THE NATIONAL MUSEUM OF THE AMERICAN LATINO","Congressional Hearings","CHRG-108hhrg95897","22-Jul-04","House of Representatives","General",NA,"Y 4.H 81/3",NA,"-","ney, robert w;

millendermcdonald, juanita;

John B. Larson : United States House of Representatives;

Vernon J. Ehlers : United States House of Representatives;","Yes","22-07-2004","-","-","-","-","-","-","-","-",4,"9","3:6:-:-:-","---

---

---

---","-"
"8704","Congressional Committee Materials","S. Hrg. 110-1107","110th","321",NA,"S. HRG. 110-1107 - THE FISCAL YEAR 2009 BUDGET PROPOSAL TO SUPPORT U.S. BASIC RESEARCH","Congressional Hearings","CHRG-110shrg72808","11-Mar-08","Senate","General","867034","Y 4.C 73/7:S.HRG.110-1107",NA,"Bement Jr. : Dr. Arden L. Director National Science Foundation;

Marburger III Ph.D. : Hon. John H. Director Office of Science and Technology Policy;

Turner Dr. James M. : Acting Director National Institute of Standards and Technology U.S. Department of Commerce;","Amy Klobuchar : United States Senate;

John F. Kerry : United States Senate;","Yes","11/3/08","-","National Science Foundation

Office of Science and Technology

Department of Commerce","243

4

33","3145.0

349.0

600.0","3145.0

300.0

600.0","-

-

-","No

No

No","Subcommittee on Science, Technology, and Innovation",2,"24","12:12:-:-:-","---

---","-

Ph.D. : Doctor of Philosophy

-"
"8783","Congressional Committee Materials","S. Hrg. 108-838","108th","321",NA,"S. HRG. 108-838 - SPACE SHUTTLE COLUMBIA INVESTIGATION","Congressional Hearings","CHRG-108shrg97865","14-May-03","Senate","General",NA,"Y 4.C 73/7",NA,"O'Keefe Hon. Sean : Administrator National Aeronautics and Space Administration;

Gehman Jr. : Admiral Harold W. Chairman Columbia Accident Investigation Board;","Ron Wyden : United States Senate;

sununu, john esununu, john e;

nelson, clarence william bill;

Ernest F. Hollings : United States Senate;

George Allen : United States Senate;

snowe, olympia jbsnowe, olympia j;

brownback, sambrownback, samuel dale;

John McCain : United States Senate;

John B. Breaux : United States Senate;","Yes","14-05-2003","-","National Aeronautics and Space Administration

-","199

-","2700.0

-","2700.0

-","-

-","No

No","-",9,"23","11:12:-:-:-","---

---

---

---

---

---

---

---

---","-

-"
