JK Code,Agency,Alternate Name,UA Code,Parent UA Code
116,Financial Management Service,,1510,1500
275,Financial Stability Oversight Council,,4030,4030
56,Food and Drug Administration,FDA,910,900
30,Food and Nutrition Service,,584,500
29,Food Safety and Inspection Service,,583,500
17,Foreign Agricultural Service,,551,500
314,Foreign Claims Settlement Commission of the United States,,,
31,Forest Service,,596,500
315,General Accounting Office,,,
225,General Services Administration,GSA,3090,3090
193,Government National Mortgage Association,Ginnie Mae,2503,2500
316,Government Printing Office,,,
27,"Grain Inspection, Packers and Stockyards Administration",,580,500
274,Gulf Coast Ecosystem Restoration Council,,3600,3600
227,Harry S Truman Scholarship Foundation,,3111,3111
55,Health Resources and Services Administration,,906,900
97,Immigration and Naturalization Services,INS,1115,1115
317,Independent Payment Advisory Board,,,
57,Indian Health Service,,917,900
238,Institute for Museum and Library Services,,3137,3137
318,Institute of American Indian Arts,,,
147,Institute of Education Sciences,,1850,1800
8,Inter-American Foundation,,417,417
123,Internal Revenue Service,IRS,1545,1500
319,Internal Revenue Service Oversight Board,,,
320,International Atomic Energy Agency,,,
321,International Bank for Reconstruction and Development,,,
322,International Communication Agency,,,
323,"International Joint Commission, United States and Canada",,,
324,International Monetary Fund,IMF,,
36,International Trade Administration,,625,600
231,Interstate Commerce Commission,,3120,3120
207,James Madison Memorial Fellowship Foundation,,3020,3020
325,Joint Chiefs of Staff,,,
232,Legal Services Corporation,,3122,3122
326,Library of Congress,,,
184,Maritime Administration,,2133,2100
233,Merit Systems Protection Board,,3124,3124
327,Metropolitan Washington Airport Authority,,,
328,Millennium Challenge Corporation,,,
77,Minerals Management Service,,1010,1000
329,Missile Defense Agency,,,
330,Mississippi River Commission,,,
268,Morris K. Udall Scholarship Foundation,,3320,3320
199,National Aeronautics and Space Administration,NASA,2700,2700
16,National Agricultural Statistics Service,,535,500
226,National Archives and Records Administration,,3095,3095
331,National Board for Education Sciences,,,
332,National Capital Planning Commission,,,
333,National Cemetery Administration,,,
234,National Commission on Libraries and Information Science,,3130,3130
334,National Consumer Cooperative Bank,,,
273,National Council on Disability,,3480,3480
335,National Council on the Arts,,,
336,National Council on the Humanities,,,
235,National Credit Union Administration,,3133,3133
236,National Endowment for the Arts,,3135,3135
237,National Endowment for the Humanities,,3136,3136
337,National Foundation on Arts and Humanities,,,
338,National Guard Bureau,,,
181,National Highway Traffic Safety Administration,NHTSA,2127,2100
241,National Indian Gaming Commission,,3141,3141
271,National Institute for Literacy,,3430,3430
239,National Institute of Building Sciences,,3138,3138
15,National Institute of Food and Agriculture,,524,500
43,National Institute of Standards and Technology,,693,600
61,National Institutes of Health,NIH,925,900
242,National Labor Relations Board,NLRB,3142,3142
240,National Mediation Board,,3140,3140
339,National Museum and Library Services Board,,,
340,National Nuclear Security Administration,,,
163,National Nuclear Security Agency,,1994,1900
37,National Oceanic and Atmospheric Administration,,648,600
81,National Park Service,,1024,1000
341,National Railroad Passenger Corporation ,AMTRAK,,
243,National Science Foundation,NSF,3145,3145
342,National Security Council,,,
343,National Security Education Board,,,
344,National Security Staff,,,
41,National Technical Information Service,,692,600
39,National Telecommunications and Information Administration,,660,600
244,National Transportation Safety Board,,3147,3147
25,Natural Resources Conservation Service,,578,500
245,Nuclear Regulatory Commission,,3150,3150
102,Occupational Safety and Health Administration,OSHA,1218,1200
249,Occupational Safety and Health Review Commission,,3202,3202
159,Office of Acquisition Management,,1991,1900
172,Office of Air and Radiation,,2060,2000
63,Office of Assistant Secretary for Health,,937,900
50,Office of Assistant Secretary for Health Affairs,,720,700
143,"Office of Career, Technical, and Adult Education",,1830,1800
173,Office of Chemical Safety and Pollution Prevention,,2070,2000
194,Office of Community Planning and Development,,2506,2500
66,Office of Consumer Information and Insurance Oversight,,950,900
345,Office of Electricity Delivery and Energy Reliability,,,
141,Office of Elementary and Secondary Education,,1810,1800
156,Office of Energy Efficiency and Renewable Energy,,1904,1900
166,Office of Enforcement and Compliance Assurance,,2020,2000
152,Office of English Language Acquistion,,1885,1800
167,Office of Environmental Information,,2025,2000
346,Office of Environmental Management,,,
195,Office of Fair Housing and Equal Opportunity,,2529,2500
108,Office of Federal Contract Compliance Programs,,1250,1200
197,Office of Federal Housing Enterprise Oversight,,2550,2550
146,Office of Federal Student Aid,,1845,1800
347,Office of Fossil Energy,,,
254,Office of Government Ethics,,3209,3209
87,Office of Hearings and Appeals,,1094,1000
192,Office of Housing,,2502,2500
148,Office of Innovation and Improvement,,1855,1800
149,Office of Intergovernmental and Interagency Affairs,,1860,1800
93,Office of Justice Programs,,1121,1100
107,Office of Labor-Management Standards,,1245,1200
170,Office of Land and Emergency Management,,2050,2000
348,Office of Legal Counsel,,,
3,Office of Management and Budget,OMB,348,300
248,Office of National Drug Control Policy,,3201,3201
78,Office of Natural Resources Revenue,,1012,1000
349,Office of Navajo and Hopi Indian Relocation,,,
350,Office of Nuclear Energy,,,
251,Office of Personnel Management,OPM,3206,3206
151,"Office of Planning, Evaluation and Policy Development",,1875,1800
165,Office of Policy,,2010,2000
145,Office of Postsecondary Education,,1840,1800
174,"Office of Prevention, Pesticides and Toxic Substances",,2070,2000
160,Office of Procurement and Assistance Management,,1991,1900
161,Office of Procurement and Assistance Policy,,1991,1900
32,Office of Procurement and Property Management,,599,500
196,Office of Public and Indian Housing,,2577,2500
65,Office of Public Health and Science,,940,900
175,Office of Research and Development,,2080,2000
150,Office of Safe and Drug-Free Schools,,1865,1800
4,Office of Science and Technology,,349,300
265,Office of Special Counsel,,3255,3255
142,Office of Special Education and Rehabilitative Services,,1820,1800
83,Office of Surface Mining Reclamation and Enforcement,,1029,1000
111,Office of the American Workplace,,1294,1200
109,Office of the Assistant Secretary for Administration and Management,,1291,1200
110,Office of the Assistant Secretary for Veterans' Employment and Training,,1293,1200
12,Office of the Chief Financial Officer,,505,500
153,Office of the Chief Financial Officer,,1890,1800
125,Office of the Comptroller of the Currency,,1557,1500
351,Office of the Director of National Intelligence,,,
352,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,,,
67,Office of the National Coordinator for Health Information Technology,,955,900
5,Office of the United States Trade Representative,,350,300
124,Office of Thrift Supervision,,1550,1500
144,Office of Vocational and Adult Education,,1830,1800
169,Office of Water,,2040,2000
106,Office of Workers' Compensation Programs,,1240,1200
270,Overseas Private Investment Corporation,,3420,3420
252,Panama Canal Commission,,3207,3207
9,Peace Corps,,420,420
253,Pennsylvania Avenue Development Corporation,,3208,3208
112,Pension Benefit Guaranty Corporation,,1212,1212
186,Pipeline and Hazardous Materials Safety Administration,,2137,2100
256,Postal Regulatory Commission,,3211,3211
353,President's Commission on White House Fellowships,,,
257,Presidio Trust,,3212,3212
6,Privacy and Civil Liberties Oversight Board,,311,311
354,Public Diplomacy and Public Affairs,,,
54,Public Health Service,,905,900
259,Railroad Retirement Board,,3220,3220
10,Recovery Accountability and Transparency Board,,430,430
189,Research and Innovative Technologies Administration,,2139,2100
187,Research and Special Programs Administration,,2137,2100
21,Rural Business-Cooperative Service,,570,500
23,Rural Housing Service,,575,500
22,Rural Utilities Service,,572,500
185,Saint Lawrence Seaway Development Corporation,,2135,2100
130,Secret Service,,1620,1600
261,Securities and Exchange Commission,SEC,3235,3235
355,Securities Investor Protection Corporation,,,
262,Selective Service System,,3240,3240
263,Small Business Administration,SBA,3245,3245
264,Smithsonian Institution,,3250,3250
71,Social Security Administration,SSA,960,960
356,Social Security Advisory Board,,,
171,Solid Waste and Emergency Response,,2050,2000
272,Special Inspector General for Afghanistan Reconstruction,,3460,3460
357,Special Panel on Appeals,,,
358,State Justice Institute,,,
62,Substance Abuse and Mental Health Services Administration,,930,900
190,Surface Transportation Board,,2140,2140
42,Technology Administration,,692,600
267,Tennessee Valley Authority,TVA,3316,3316
250,Thrift Depositor Protection Oversight Board,,3203,3203
269,Trade and Development Agency,,3330,3330
135,Transportation Security Administration,TSA,1652,1600
49,U.S. Army Corps of Engineers,,710,700
34,U.S. Census Bureau,,607,600
131,U.S. Coast Guard,,1625,1600
177,U.S. Coast Guard,,2115,2100
80,U.S. Fish and Wildlife Service,,1018,1000
82,U.S. Geological Survey,,1028,1000
229,U.S. Information Agency,,3116,3116
38,U.S. Patent and Trademark Office,,651,600
359,United Nations,,,
360,United States Advisory Commission on Public Diplomacy,,,
202,United States African Development Foundation,,3005,3005
7,United States Agency for International Development,USAID,412,412
129,United States Citizenship and Immigration Services,,1615,1600
134,United States Customs and Border Protection,,1651,1600
120,United States Customs Service,,1515,1500
361,United States Election Assistance Commission,,,
137,United States Immigration and Customs Enforcement,,1653,1600
362,United States Institute of Peace,,,
24,United States International Development Cooperation Agency,,577,500
230,United States International Trade Commission,,3117,3117
89,United States Parole Commission,,1104,1100
255,United States Postal Service,USPS,3210,3210
363,United States Sentencing Commission,,,
364,United States Soldiers and Airmens Home,,,
365,United States Tax Court,,,
366,Veterans Benefits Administration,,,
367,Veterans Health Administration,,,
105,Wage and Hour Division,,1235,1200
