committees,raw_comittees,hearing_chamber,name_raw,congress,name_full,member_id,jacket,majority,state,leadership,person_chamber,cleaned,date,party,party_seniority,Oversight,Bills
the recent court decision would lead to soaring taxes and force 
them out of their respective homes. Since the days of 
emancipation, in our islands land has been a precious commodity 
which has traditionally passed from generation to generation.
    Unless S. 1829 is adopted, the Virgin Islands will not have 
the ability to reinstitute the 10 percent cap or to employ 
other appropriate tax policy measures to address the legitimate 
concerns of these Virgin Islanders desirous of preserving their 
land for their children.
    Based on the ruling, the 1936 Statute may also preclude our 
local government from establishing partial tax exemptions for 
veterans, the elderly, or farmers, and from using tax policy to 
encourage development through the creation of the Enterprise 
Zones. While State and local governments are free to set 
different tax rates for different uses of property, such as 
residential, agricultural, commercial, income-producing, or 
charitable, the 1936 law prevents our local government from 
doing the same. To my knowledge, no State, no county, city, or 
territory has such restrictive provisions imposed upon it by 
the Congress.
    In short, the 1936 Statute needs to be repealed in order to 
put us on par with other jurisdictions, such as Montgomery 
County or New York City, and to enable us to set our own local 
tax policy.
    The second reason. The 1936 Statute was adopted by Congress 
to reform the real property tax system in the Virgin Islands, 
which at the time was based upon the use to which property was 
put as opposed to its value. Cultivated or developed land was 
taxed at a higher rate. It was felt that this system was unfair 
to those who cultivated their land and the policy discouraged 
cultivation and also favored a few large owners.
    A third reason. The adoption of S. 1829 and the consequent 
repeal of the 1936 Statute will have absolutely no economic 
effect on the Federal Government. Like State and local property 
taxes, Virgin Islands real property taxes are imposed by the 
territory and are payable to the territory. This is a local 
matter. It is not a Federal question.
    In 1936, the Virgin Islands were closely administered by 
the Federal Government. Since then there has been a steady 
progression toward local autonomy in an effort to move from 
colonialism toward self-governance. In 1954, Congress passed 
the Revised Organic Act which established a framework for 
Virgin Islands self-government, and in 1968, Congress passed 
the Elective Governor Act which authorized the popular election 
of the Virgin Islands Governor and eliminated the power of the 
President to veto local legislation.
    The provisions of the 1936 Statute that might have been 
viewed as necessary by Washington in the colonial era now bind 
the hands of the Virgin Islands government and prevent it from 
enacting socially and economically beneficial legislation. 
While it is the Government's position that the 1936 Statute was 
implicitly repealed by the Revised Organic Act of 1954, the 
court ruling provided otherwise, making an express 
congressional repeal necessary to achieve the goal of self-
government for the territory.
    I would like to thank the Honorable Congresswoman Donna 
Christensen for sponsoring this legislation.
    Senator, I respectfully request you adopt S. 1829 and 
repeal the old and outdated 1936 Federal Statute. I thank you 
for your time and attention to a matter of great importance to 
the people of the Virgin Islands.
    Madam Chair, your father, I understand, has been very 
influential in the territory for many, many years. So we want 
to convey our thanks and gratitude.",10/25/05,NA,NA,NA,

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,"Thank you, Lieutenant Governor. I 
appreciate that.
    Mr. Pula, your testimony, please. Good morning.",10/25/05,R,5,0,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Thank you, Madam Chairman. I am pleased to be 
here before you today to discuss S. 1829 and S. 1831. I am 
Nikolao Pula, Acting Deputy Assistant Secretary of the Interior 
for Insular Affairs.
    I respectfully request that my full written remarks be 
submitted for the record while I summarize my statement.",10/25/05,NA,NA,0,1

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,Your full remarks will be included.,10/25/05,R,5,0,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Thank you.
    S. 1829 would repeal sections 1 through 6 of the 1936 
Organic Act of the Virgin Islands, which deal with property 
taxation. In 2004, the Third Circuit Court of Appeals held that 
these provisions were still in effect. This decision 
invalidated local Virgin Islands statutes that give exemptions 
to residents such as veterans and seniors.
    For decades, the Department of the Interior has sponsored 
and backed measures that increase self-government for the 
territories. S. 1829 would return control of the property tax 
to the government of the Virgin Islands and property taxes 
would be levied as they were prior to the Third Circuit's 
decision. The administration supports the enactment of S. 1829.
    S. 1831 deals with two subjects: submerged lands and the 
settlement of claims pursuant to the CNMI Covenant. Do you want 
to wait on this, or do you want me to continue?",10/25/05,NA,NA,0,1

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,Go ahead. The vote has not yet started.,10/25/05,R,5,0,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"All right.
    Section 1 of S. 1831 would give the Commonwealth of the 
Northern Mariana Islands authority over its submerged lands.
    It has been the position of the Federal Government that 
United States submerged lands around the Northern Mariana 
Islands did not transfer to the CNMI. This position was 
validated in the Ninth Circuit Court of Appeals. One 
consequence of this decision is that CNMI law enforcement 
personnel lacked jurisdiction in the territorial waters 
surrounding the islands of CNMI without a grant from the 
Federal Government.
    Currently the CNMI is the only U.S. territory that does not 
have title to the submerged lands. It is appropriate that CNMI 
be given the same authority as her sister territories.
    The administration, therefore, supports enactment of 
section 1 of S. 1831, provided that language is added regarding 
consistent interpretation.
    Section 2 of S. 1831 would permit the Secretary of the 
Interior to settle claims of the CNMI arising pursuant to the 
CNMI Covenant. The authority would be activated by a request by 
the Governor of the CNMI.
    The administration does not support the enactment of 
section 2 of S. 1831 because it does not believe that the 
creation of an additional formal mechanism with its attendant 
costs, as described in the bill, is necessary.
    Although we were not specifically invited to speak with 
regard to the compact-related amendments in S. 1830, with your 
indulgence I would like to raise one issue that is not 
considered in the bill.
    The Compact of Free Association Amendments Act of 2003 
contemplated the creation of separate trust funds for the 
peoples of the Republic of the Marshall Islands and the 
Federated States of Micronesia. To aid in building corpus, both 
compacts provide that their respective trust funds shall not be 
subject to Federal or State taxes.
    Another provision requires that the trust funds be 
incorporated in the District of Columbia. Because the District 
of Columbia is neither a State nor the Federal Government, the 
intended tax-free status of the trust fund has been called into 
question.
    The administration, therefore, requests that the following 
new section be added to S. 1830, an amendment for the tax-free 
status in the District. ``Clarification of Tax-Free Status of 
Trust Funds. In the U.S.-RMI Compact, the U.S.-FSM Compact, and 
their respective trust funds subsidiary agreements, for the 
purposes of taxation by the United States or its subsidiary 
jurisdictions, the word `state' means `state, territory, or the 
District of Columbia.' ''
    Such an amendment would ensure that full effect will be 
given to the intended tax-free status of the trust funds.
    I thank you for allowing me the opportunity to testify 
today.",10/25/05,NA,NA,0,1

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,"Thank you, Mr. Pula. The committee will 
look forward to working with you and your office on the 
suggestions that you have raised this morning.",10/25/05,R,5,0,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,Thank you.,10/25/05,NA,NA,NA,

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,"This is directed to you, Delegate 
Christensen. The committee has reviewed the views of a Mr. 
David Berne, the individual who brought the case which upheld 
the 1936 Statute that S. 1829 would repeal. We have included 
the letter from David Berne in the record here.
    Now, Mr. Berne proposes that 1829 be amended to grant the 
U.S. Virgin Islands the authority to establish property tax 
exemptions and caps, but that the principle of using the actual 
value in determining underlying property value tax assessments 
be maintained.
    What is your reaction to the proposal that Mr. Berne has 
put forth?",10/25/05,R,5,NA,

330,SENATE-Energy and Natural Resources,SENATE,Mrs. Christensen,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Thank you for that question, Madam Chair.
    Regardless of what one may feel about how property ought to 
be taxed in the Virgin Islands, there is no other jurisdiction 
in the United States where the Federal Government makes that 
determination. So it is my position that that is a matter for 
the legislature of the Virgin Islands to determine how the 
property tax would be levied, but that there is not a role for 
the Federal Government, as it does not exist in any State or 
any jurisdiction in this country. I feel it would be 
extraordinary for the Federal Government to determine in any 
way how property taxes would be applied in the Virgin Islands.",10/25/05,NA,NA,NA,

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,"Lieutenant Governor, did you care to add 
anything to that?",10/25/05,R,5,NA,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Richards,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Yes. I will simply echo what the Delegate 
said. This is a matter of local law. Our legislature can handle 
and impose their respective policies, and I do not think that 
the Federal Government would have any say in this matter. This 
can be addressed through our local legislation.",10/25/05,NA,NA,NA,

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,"Thank you for that.
    Mr. Pula, please relay to the Secretary our appreciation 
for her convening this initial meeting to discuss with the 
Marshalls their issues as they relate to the nuclear testing 
program. I guess this morning I would ask for your assurance 
that you will follow up and pursue the individual issues with 
the Marshalls, report back to the committee, as you develop 
either the solutions or a range of options. We appreciate the 
forward motion that we have made and would look forward to 
updates in the future and know that there is being some 
progress made as it relates to the Marshall Islands.",10/25/05,R,5,1,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Thank you, Madam Chairman. I will relay and 
convey your remarks to the Secretary.
    As a follow-up to your request, the Deputy Assistant 
Secretary of Insular Affairs had a conference call just last 
Thursday with officials in the State Department and HHS and 
Energy to follow up on some of these issues regarding the 
Marshall Islands. We will continue to work as an administration 
and report to the committee those things that we pursue.",10/25/05,NA,NA,1,

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,"Great. We certainly appreciate that.
    We have been joined by Senator Akaka. Senator, would you 
care to make any remarks or comments? We had some good 
testimony on the legislation before us and we are just wrapping 
it up, but we would love to have your comments.",10/25/05,R,5,1,

330,SENATE-Energy and Natural Resources,SENATE,Senator Akaka,109,"akaka, daniel k",14400,CHRG-109shrg26254,2,,0,SENATE,"Thank you very much, Madam Chairman. Thank 
you for this hearing, and I want to add my welcome to our 
panelists here.
    I understand there are some bills that we are dealing with 
here. I would like to mention just two of the three that we are 
considering. That is the one to amend the Compact of Free 
Association for RMI and FSM, and the other is with the CNMI. We 
are looking forward, of course, to moving those. So I look 
forward to hearing your responses here.",10/25/05,D,2,NA,

330,SENATE-Energy and Natural Resources,SENATE,Senator Akaka,109,"akaka, daniel k",14400,CHRG-109shrg26254,2,,0,SENATE,May I proceed with the questions?,10/25/05,D,2,NA,

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,Yes.,10/25/05,R,5,NA,

330,SENATE-Energy and Natural Resources,SENATE,Senator Akaka,109,"akaka, daniel k",14400,CHRG-109shrg26254,2,,0,SENATE,"I would like to ask Nick Pula--good to see 
you here.",10/25/05,D,2,0,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Good to see you too, Senator.",10/25/05,NA,NA,0,

330,SENATE-Energy and Natural Resources,SENATE,Senator Akaka,109,"akaka, daniel k",14400,CHRG-109shrg26254,2,,0,SENATE,"I understand that the administration has no 
objection to the committee favorably reporting these three 
bills, with two changes, the deletion of section 2 of S. 1831 
regarding the ability of the Secretary of the Interior to 
resolve disputes with CNMI, with an addition of a new section 
to S. 1830, to clarify the tax-free status of the compact 
trusts. Now, is that correct, as far as you know?",10/25/05,D,2,0,1

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Yes, Senator. Section 2 of S. 1831 calls for the 
Secretary of the Interior to resolve conflicts with the CNMI. 
There are mechanisms now that the Secretary is already using. 
As you know, the Covenant also has section 902, which handles 
any discrepancy or any issues that the CNMI would like to 
discuss with the U.S. Government. And the President's 
representative on section 902 can handle that.
    Also, generally speaking, the Secretary of the Interior, in 
dealing with the insular areas, does advocate and take up 
issues or conflicts with other agencies by trying to work out 
within the administration whatever differences there are. So we 
felt that it was unnecessary to have this particular provision.",10/25/05,NA,NA,0,1

330,SENATE-Energy and Natural Resources,SENATE,Senator Akaka,109,"akaka, daniel k",14400,CHRG-109shrg26254,2,,0,SENATE,"In S. 1831, you stated that the 
administration does not support the enactment of section 2 of 
S. 1831 because it does not believe that the creation of an 
additional formal mechanism with its attendant costs, as 
described in the bill, is necessary. And that is a quote from 
you.
    However, the intent of section 2 is to encourage the 
Secretary to use her existing authority and appropriations to 
informally resolve disputes before resulting to the more formal 
and costly consultation procedures established under section 
902 of the Covenant between the United States and CNMI. Could 
you please explain how this informal approach would be more 
costly than the current formal consultation procedures?",10/25/05,D,2,0,1

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"At this moment, as I mentioned earlier, the 
Secretary does use her influence informally to discuss issues 
that are brought to her with the other sister agencies, at 
times including the OMB.
    Regarding cost, that was a reference to the second part of 
that bill that has to deal with any appropriations. There are 
none attached to it, but just in case there are.",10/25/05,NA,NA,0,

330,SENATE-Energy and Natural Resources,SENATE,Senator Akaka,109,"akaka, daniel k",14400,CHRG-109shrg26254,2,,0,SENATE,"The Ambassador of Palau has submitted 
testimony requesting further amendments to S. 1830 that would: 
one, extend availability of U.S. education programs under the 
compact with Palau from 2007 to 2009; two, to extend the 
authorization for television stations in Palau to continue to 
transmit videotaped television programming from the United 
States; and three, to allow the citizens of Palau to apply for 
merchant marine documentation and serve on U.S. flag vessels.
    I do not know whether you have a position on these requests 
at this time, but I would appreciate your, let me say, initial 
reaction and that you will respond in detail for the record 
with the administration's analysis and positions.",10/25/05,D,2,0,1

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Thank you, Senator. We were not asked to testify 
on this particular provision, as you mentioned. I personally 
would like to take this back and have a discussion with other 
sister agencies that have jurisdiction over this, including the 
State Department, and whatever other agencies that would be 
required to have a discussion on this. We would be happy to 
follow up on that.",10/25/05,NA,NA,0,

330,SENATE-Energy and Natural Resources,SENATE,Senator Akaka,109,"akaka, daniel k",14400,CHRG-109shrg26254,2,,0,SENATE,"Finally, I understand that the State 
Department is considering negotiations with the Republic of 
Palau in order to update certain provisions of the Palau 
compact so that they will conform with provisions in the FSM 
and RMI compacts. I believe this committee is interested in 
having Palau agree to the more recent provisions regarding 
immigration, adoption, and labor recruiting.
    Would you please consult with your colleagues at the State 
Department and let the committee know whether and when they are 
committed to undertake such negotiations? We would like to hear 
that, and you can inform the committee about that.",10/25/05,D,2,0,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Pula,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Senator, I will definitely contact our contacts 
with the State Department and follow up as you request. Yes.",10/25/05,NA,NA,0,

330,SENATE-Energy and Natural Resources,SENATE,Senator Akaka,109,"akaka, daniel k",14400,CHRG-109shrg26254,2,,0,SENATE,"Well, thank you very much and thank you very 
much for your responses.
    Thank you very much, Madam Chairman, for this opportunity 
to ask these questions.",10/25/05,D,2,0,

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,"Thank you, Senator Akaka.
    Well, I told you we were going to have a vote at 10:30. It 
has bumped to 10:45. So it gave us just the time that we needed 
to accomplish this morning's business. I want to thank you for 
your willingness to appear here today and present your 
testimony. I appreciate that.
    With that, we are adjourned.",10/25/05,R,5,NA,

330,SENATE-Energy and Natural Resources,SENATE,Mr. Richards,109,NA,NA,CHRG-109shrg26254,NA,,NA,SENATE,"Madam Chair, I just wanted to recognize the 
tax assessor, Mr. Roy Martin, who has joined me on this trip.",10/25/05,NA,NA,NA,

330,SENATE-Energy and Natural Resources,SENATE,Senator Murkowski,109,"murkowski, lisa",40300,CHRG-109shrg26254,1,,0,SENATE,"And who is that? Welcome. Thank you for 
being here and thank you for what you do.
    With that, we are adjourned.",10/25/05,R,5,NA,
