Keyword(s) for oversight,Agency witness,Witness name,Witness agency,Oversight,Agency witness serving as expert,,Category,Senate.Hearing.Number,Congress,title,Collection,filename,Held.Date,Congress.Chamber,Hearing.Sub.Type,ILS.System.ID,SuDoc.Class.Number
,,,,,,23162,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - OFFICIAL TIME: GOOD VALUE FOR THE TAXPAYER?",Congressional Hearings,CHRG-112hhrg70524,1-Jun-11,House of Representatives,General,860056,Y 4.G 74/7:112-51
,,,,,,10010,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - NATIONAL SECURITY IMPLICATIONS OF GLOBAL CLIMATE CHANGE",Congressional Hearings,CHRG-110hhrg62523,25-Jun-08,House of Representatives,General,780172,Y 4.2:EN 2/SE 2
,,,,,,15066,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - TOWARDS A NATIONAL BIODEFENSE STRATEGY",Congressional Hearings,CHRG-108hhrg24168,3-Jun-04,House of Representatives,General,NA,NA
,,,,,,23519,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - SEQUESTRATION: THE THREAT TO SMALL BUSINESSES, JOBS, AND THE INDUSTRIAL BASE",Congressional Hearings,CHRG-112hhrg77560,20-Sep-12,House of Representatives,General,891624,Y 4.SM 1:112-087
,,,,,,13175,Congressional Committee Materials,S. Hrg. 109-291,109th,"S. HRG. 109-291 - REPEAL ACT OF MAY 26, 1936, PERTAINING TO THE VIRGIN ISLANDS; AMEND COMPACT OF FREE ASSOCIATION AMENDMENTS ACT; AND CONVEY SUBMERGED LAND TO COMMONWEALTH OF THE NORTHERN MARIANA ISLANDS",Congressional Hearings,CHRG-109shrg26254,25-Oct-05,Senate,General,NA,Y 4.EN 2
,,,,,,6546,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - ELECTRONIC COMMUNICATIONS PRIVACY ACT REFORM",Congressional Hearings,CHRG-111hhrg56271,5-May-10,House of Representatives,General,720874,Y 4.J 89/1:111-98
,,,,,,10852,Congressional Committee Materials,S. Hrg. 110-115,110th,S. HRG. 110-115 - A REVIEW OF THE TRANSPORTATION SECURITY ADMINISTRATION PERSONNEL SYSTEM,Congressional Hearings,CHRG-110shrg33877,5-Mar-07,Senate,General,NA,Y 4.G 74/9
,,,,,,23303,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - SIGAR REPORT: DOCUMENT DESTRUCTION AND MILLIONS OF DOLLARS UNACCOUNTED FOR AT THE DEPARTMENT OF DEFENSE",Congressional Hearings,CHRG-112hhrg76193,13-Sep-12,House of Representatives,General,882133,Y 4.G 74/7:112-179
,,,,,,9441,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - CREATING OPPORTUNITIES FOR SMALL BUSINESSES IN AN ECONOMIC RECOVERY",Congressional Hearings,CHRG-110hhrg44997,28-Oct-08,House of Representatives,General,NA,NA
,,,,,,22096,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - [H.A.S.C. NO. 112-95 ] DOING BUSINESS WITH DOD: GETTING INNOVATIVE SOLUTIONS FROM CONCEPT TO THE HANDS OF THE WARFIGHTER",Congressional Hearings,CHRG-112hhrg72933,23-Jan-12,House of Representatives,General,871888,Y 4.AR 5/2 A:2011-2012/95
,,,,,,14765,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - REFORMING REGULATION TO KEEP AMERICA'S SMALL BUSINESSES COMPETITIVE",Congressional Hearings,CHRG-108hhrg94132,20-May-04,House of Representatives,General,NA,Y 4.SM 1
,,,,,,13355,Congressional Committee Materials,S. Hrg. 109-683,109th,S. HRG. 109-683 - KOSOVO: A WAY FORWARD?,Congressional Hearings,CHRG-109shrg30677,8-Nov-05,Senate,General,NA,Y 4.F 76/2
,,,,,,24536,Congressional Committee Materials,S. Hrg. 112-767,112th,"S. HRG. 112-767 - NOMINATIONS OF MARK J. MAZUR, MATTHEW S. RUTHERFORD, AND MEREDITH M. BROADBENT",Congressional Hearings,CHRG-112shrg80697,8-May-12,Senate,General,904797,Y 4.F 49:S.HRG.112-767
,,,,,,13482,Congressional Committee Materials,S. Hrg. 109-139,109th,S. HRG. 109-139 - EXAMINING USAID'S ANTI-MALARIA POLICIES,Congressional Hearings,CHRG-109shrg21437,12-May-05,Senate,General,NA,Y 4.G 74/9
,,,,,,23488,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - MARKUP OF COMMITTEE VIEWS AND ESTIMATES ON THE SMALL BUSINESS ADMINISTRATION FY2013 BUDGET, H.R. 3850, H.R. 3851, H.R. 4121, H.R. 3893, H.R. 3980, AND H.R. 4118",Congressional Hearings,CHRG-112hhrg77845,7-Mar-12,House of Representatives,Markup,892345,Y 4.SM 1:112-056
,,,,,,6102,Congressional Committee Materials,S. Hrg. 110,110th,S. HRG. 110 - DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2008,Congressional Hearings,CHRG-110shrg59104241,28-Mar-07,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,7842,Congressional Committee Materials,S. Hrg. 111,111th,S. HRG. 111 - CONGRESSIONAL OVERSIGHT PANEL MARCH OVERSIGHT REPORT,Congressional Hearings,CHRG-111shrg47888,6-Mar-09,Senate,General,NA,NA
,,,,,,14296,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - EMERGING FROM ISABEL: A REVIEW OF FEMA'S PREPARATION FOR AND RESPONSE TO AFFECTED AREAS IN THE HAMPTON ROADS REGION",Congressional Hearings,CHRG-108hhrg91421,10-Oct-03,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,11849,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - FINANCIAL SERVICES SECTOR PREPAREDNESS",Congressional Hearings,CHRG-109hhrg26505,26-Sep-05,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,22080,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - OVERSIGHT HEARING ON THE ``EFFECT OF THE PRESIDENT'S FY 2013 BUDGET AND LEGISLATIVE PROPOSALS FOR THE BUREAU OF LAND MANAGEMENT AND THE U.S. FOREST SERVICE'S ENERGY AND MINERALS PROGRAMS ON PRIVATE SECTOR JOB CREATION, DOMESTIC ENERGY AND MINERALS PRODUCTION AND DEFICIT REDUCTION.''",Congressional Hearings,CHRG-112hhrg73487,20-Mar-12,House of Representatives,Oversight,897000,Y 4.R 31/3:112-101
,,,,,,9609,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - HEARING ON ECONOMIC CHALLENGES FACING MIDDLE CLASS FAMILIES",Congressional Hearings,CHRG-110hhrg34736,31-Jan-07,House of Representatives,General,769411,Y 4.W 36:110-4
,,,,,,14507,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - OVERSIGHT OF THE SMITHSONIAN INSTITUTION",Congressional Hearings,CHRG-108hhrg87389,"February 26, 2003March 5, 2003",House of Representatives,General,NA,Y 4.H 81/3
,,,,,,6034,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - THE NEXT GENERATION OF FUSION ENERGY RESEARCH",Congressional Hearings,CHRG-111hhrg52894,29-Oct-09,House of Representatives,General,707717,Y 4.SCI 2:111-61
,,,,,,12799,Congressional Committee Materials,S. Hrg. 109-22,109th,S. HRG. 109-22 - DEPARTMENT OF DEFENSE AUTHORIZATION FOR APPROPRIATIONS FOR FISCAL YEAR 2006,Congressional Hearings,CHRG-109shrg21105,"March 16, 2005April 6, 2005April 14, 2005",Senate,Authorization,NA,Y 4.2
,,,,,,14909,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - MEMBERS' DAY",Congressional Hearings,CHRG-108hhrg85489,6-Mar-03,House of Representatives,General,NA,Y 4.B 85/3
,,,,,,24838,Congressional Committee Materials,S. Hrg. 112-383,112th,S. HRG. 112-383 - THE DUE PROCESS GUARANTEE ACT: BANNING INDEFINITE DETENTION OF AMERICANS,Congressional Hearings,CHRG-112shrg74064,29-Feb-12,Senate,General,874541,Y 4.J 89/2:S.HRG.112-383
,,,,,,6863,Congressional Committee Materials,S. Hrg. 111-434,111th,"S. HRG. 111-434 - DARK POOLS, FLASH ORDERS, HIGH-FREQUENCY TRADING, AND OTHER MARKET STRUCTURE ISSUES",Congressional Hearings,CHRG-111shrg56562,28-Oct-09,Senate,General,714443,Y 4.B 22/3:S.HRG.111-434
,,,,,,25009,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - HEARING TO REVIEW THE STATE OF THE FARM ECONOMY",Congressional Hearings,CHRG-111hhrg52504,1-Apr-09,House of Representatives,General,NA,Y 4.AG 8/1
,,,,,,6758,Congressional Committee Materials,S. Hrg. 111-165,111th,S. HRG. 111-165 - ONGOING EFFORTS TO COMBAT PIRACY ON THE HIGH SEAS,Congressional Hearings,CHRG-111shrg53692,5-May-09,Senate,General,NA,Y 4.AR 5/3
,,,,,,22435,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - A REVIEW OF EFFORTS TO PROTECT JOCKEYS AND HORSES IN HORSERACING",Congressional Hearings,CHRG-112hhrg78795,30-Apr-12,House of Representatives,General,905559,Y 4.C 73/8:112-140
,,,,,,15562,Congressional Committee Materials,S. Hrg. 108-485,108th,S. HRG. 108-485 - CALIFORNIA MISSIONS ACT; BARANOV MUSEUM STUDY ACT; MANHATTAN PROJECT NATIONAL HISTORICAL PARK STUDY ACT; AND JOHNSTOWN FLOOD NATIONAL MEMORIAL BOUNDARY ADJUSTMENT ACT,Congressional Hearings,CHRG-108shrg94203,9-Mar-04,Senate,General,NA,Y 4.EN 2
,,,,,,22814,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - ORGAN HARVESTING OF RELIGIOUS AND POLITICAL DISSIDENTS BY THE CHINESE COMMUNIST PARTY",Congressional Hearings,CHRG-112hhrg75859,12-Sep-12,House of Representatives,General,884868,Y 4.F 76/1:112-180
,,,,,,23512,Congressional Committee Materials,NA,112th,"HOUSE HEARING, 112TH CONGRESS - DIGITAL DIVIDE: EXPANDING BROADBAND ACCESS TO SMALL BUSINESSES",Congressional Hearings,CHRG-112hhrg77559,18-Jul-12,House of Representatives,General,891507,Y 4.SM 1:112-079
,,,,,,15780,Congressional Committee Materials,S. Hrg. 108-54,108th,S. HRG. 108-54 - CONSOLIDATING INTELLIGENCE ANALYSIS: A REVIEW OF THE PRESIDENT'S PROPOSAL TO CREATE A TERRORIST THREAT INTEGRATION CENTER,Congressional Hearings,CHRG-108shrg86773,"February 14, 2003February 26, 2003",Senate,General,NA,Y 4.G 74/9
,,,,,,14347,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - WILL ``NETWORX'' WORK? A REVIEW OF WHETHER A CENTRALIZED GOVERNMENT TELECOM PLAN JIBES WITH AN EVER-EVOLVING MARKET",Congressional Hearings,CHRG-108hhrg94004,26-Feb-04,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,14170,Congressional Committee Materials,S. Hrg. 108,108th,S. HRG. 108 - LEGISLATIVE BRANCH APPROPRIATIONS FOR FISCAL YEAR 2005,Congressional Hearings,CHRG-108shrg2910471,11-Mar-04,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,7278,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE IMPACT OF THE FINANCIAL CRISIS ON WORKERS' RETIREMENT SECURITY",Congressional Hearings,CHRG-110hhrg45031,22-Oct-08,House of Representatives,Field,NA,Y 4.ED 8/1
,,,,,,7563,Congressional Committee Materials,S. Hrg. 111-1059,111th,S. HRG. 111-1059 - PREVENTING AND RECOVERING MEDICARE PAYMENT ERRORS,Congressional Hearings,CHRG-111shrg58400,15-Jul-10,Senate,General,841216,Y 4.G 74/9:S.HRG.111-1059
,,,,,,14648,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - IMPLEMENTATION OF THE MATH AND SCIENCE PARTNERSHIP PROGRAM: VIEWS FROM THE FIELD",Congressional Hearings,CHRG-108hhrg90162,30-Oct-03,House of Representatives,General,NA,Y 4.SCI 2
,,,,,,12561,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - IMMIGRATION REMOVAL PROCEDURES IMPLEMENTED IN THE AFTERMATH OF THE SEPTEMBER 11, 2001 ATTACKS",Congressional Hearings,CHRG-109hhrg22188,30-Jun-05,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,13189,Congressional Committee Materials,S. Hrg. 109-362,109th,S. HRG. 109-362 - ENERGY OUTLOOK 2006,Congressional Hearings,CHRG-109shrg27065,16-Feb-06,Senate,General,NA,Y 4.EN 2
,,,,,,13653,Congressional Committee Materials,S. Hrg. 109-298,109th,S. HRG. 109-298 - OFF-RESERVATION GAMING,Congressional Hearings,CHRG-109shrg26326,28-Feb-06,Senate,General,NA,Y 4.IN 2/11
,,,,,,6477,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - MANDATORY MINIMUMS AND UNINTENDED CONSEQUENCES",Congressional Hearings,CHRG-111hhrg51013,14-Jul-09,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,8345,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - PREDATORY SALES PRACTICES IN MEDICARE ADVANTAGE",Congressional Hearings,CHRG-110hhrg43431,26-Jun-07,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,25412,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - CREATING GREATER TRANSPARENCY FOR PENSIONERS",Congressional Hearings,CHRG-111hhrg57404,20-Jul-10,House of Representatives,General,803957,Y 4.ED 8/1:111-73
,,,,,,15354,Congressional Committee Materials,S. Hrg. 108-816,108th,S. HRG. 108-816 - U.S. INVOLVEMENT IN AEROSPACE RESEARCH,Congressional Hearings,CHRG-108shrg96511,27-Feb-03,Senate,General,NA,Y 4.C 73/7
,,,,,,24448,Congressional Committee Materials,S. Hrg. 112-596,112th,S. HRG. 112-596 - GASOLINE PRICES IN THE STATE OF VERMONT,Congressional Hearings,CHRG-112shrg76613,6-Aug-12,Senate,General,885155,Y 4.EN 2:S.HRG.112-596
,,,,,,14891,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - HEALTH CARE INFORMATION TECHNOLOGY",Congressional Hearings,CHRG-108hhrg99674,17-Jun-04,House of Representatives,General,NA,Y 4.W 36
,,,,,,5447,Congressional Committee Materials,NA,111th,"HOUSE HEARING, 111TH CONGRESS - HONORING THE 111TH ANNIVERSARY OF THE INDEPENDENCE OF THE PHILIPPINES",Congressional Hearings,CHRG-111hhrg52851,14-Oct-09,House of Representatives,Markup,NA,Y 4.F 76/1
,,,,,,14181,Congressional Committee Materials,NA,108th,"HOUSE HEARING, 108TH CONGRESS - THE CONSOLIDATED FINANCIAL STATEMENTS OF THE FEDERAL GOVERNMENT FOR FISCAL YEAR 2002",Congressional Hearings,CHRG-108hhrg88503,8-Apr-03,House of Representatives,General,NA,Y 4.G 74/7
,,,,,,12668,Congressional Committee Materials,NA,109th,"HOUSE HEARING, 109TH CONGRESS - ENERGY EMPLOYEES OCCUPATIONAL ILLNESS COMPENSATION PROGRAM: ARE WE FULFILLING THE PROMISE WE MADE TO THESE COLD WAR VETERANS WHEN WE CREATED THIS PROGRAM? (PART III)",Congressional Hearings,CHRG-109hhrg28783,20-Jul-06,House of Representatives,General,NA,Y 4.J 89/1
,,,,,,8197,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - [H.A.S.C. NO. 110-150] MILITARY RESALE AND MORALE, WELFARE, AND RECREATION OVERVIEW",Congressional Hearings,CHRG-110hhrg45825,17-Apr-08,House of Representatives,General,NA,Y 4.AR 5/2
,,,,,,13425,Congressional Committee Materials,S. Hrg. 109-173,109th,S. HRG. 109-173 - U.S. HISTORY: OUR WORST SUBJECT?,Congressional Hearings,CHRG-109shrg22340,30-Jun-05,Senate,General,NA,Y 4.L 11/4
,,,,,,7358,Congressional Committee Materials,S. Hrg. 111-1047,111th,S. HRG. 111-1047 - A STRONGER WORKFORCE INVESTMENT SYSTEM FOR A STRONGER ECONOMY,Congressional Hearings,CHRG-111shrg55207,24-Feb-10,Senate,General,839894,Y 4.L 11/4:S.HRG.111-1047
,,,,,,11161,Congressional Committee Materials,S. Hrg. 110-607,110th,S. HRG. 110-607 - CHALLENGES AND SOLUTIONS FOR PROTECTING OUR CHILDREN FROM VIOLENCE AND EXPLOITATION IN THE 21ST CENTURY,Congressional Hearings,CHRG-110shrg44986,16-Apr-08,Senate,General,NA,Y 4.J 89/2
,,,,,,9775,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - FISCAL CHALLENGES AND THE ECONOMY IN THE LONG TERM",Congressional Hearings,CHRG-110hhrg33754,28-Feb-07,House of Representatives,General,NA,Y 4.B 85/3
,,,,,,9285,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - THE MEDICARE DRUG BENEFIT: ARE PRIVATE INSURERS GETTING GOOD DISCOUNTS FOR THE TAXPAYER?",Congressional Hearings,CHRG-110hhrg56580,24-Jul-08,House of Representatives,General,724406,Y 4.G 74/7:110-213
,,,,,,12007,Congressional Committee Materials,S. Hrg. 109,109th,S. HRG. 109 - DEPARTMENT OF DEFENSE APPROPRIATIONS FOR FISCAL YEAR 2007,Congressional Hearings,CHRG-109shrg59104204,28-Mar-06,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,8374,Congressional Committee Materials,NA,110th,"HOUSE HEARING, 110TH CONGRESS - KETEK CLINICAL STUDY FRAUD: WHAT DID AVENTIS KNOW?",Congressional Hearings,CHRG-110hhrg48587,12-Feb-08,House of Representatives,General,NA,Y 4.C 73/8
,,,,,,13808,Congressional Committee Materials,S. Hrg. 109-968,109th,S. HRG. 109-968 - STRENGTHENING PARTICIPATION OF SMALL BUSINESSES IN FEDERAL CONTRACTING AND INNOVATION RESEARCH PROGRAMS,Congressional Hearings,CHRG-109shrg36593,12-Jul-06,Senate,General,NA,Y 4.SM 1/2
,,,,,,10123,Congressional Committee Materials,S. Hrg. 110-294,110th,S. HRG. 110-294 - FOOD SAFETY,Congressional Hearings,CHRG-110shrg37849,12-Mar-07,Senate,General,NA,Y 4.AP 6/2
,,,,,,11981,Congressional Committee Materials,S. Hrg. 109,109th,"S. HRG. 109 - DEPARTMENTS OF TRANSPORTATION, TREASURY, THE JUDICIARY, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES APPROPRIATIONS FOR FISCAL YEAR 2006",Congressional Hearings,CHRG-109shrg49104165,21-Apr-05,Senate,Appropriation,NA,Y 4.AP 6/2
,,,,,,25610,Congressional Committee Materials,S. Hrg. 112-608,112th,S. HRG. 112-608 - NEXT STEPS IN SYRIA,Congressional Hearings,CHRG-112shrg76695,1-Aug-12,Senate,General,886532,Y 4.F 76/2:S.HRG.112-608
,,,,,,7087,Congressional Committee Materials,S. Hrg. 111-284,111th,S. HRG. 111-284 - INTERNATIONAL ASPECTS OF CLIMATE CHANGE,Congressional Hearings,CHRG-111shrg55049,17-Nov-09,Senate,General,689494,Y 4.EN 2: S.HRG.111-284
