Agcy Name,Org Name,Pborg Seq,Pborg Seq Managed By,Org Order,Location,Title,Name of Incumbent,Type of Appt,Pay Plan,Pay,Tenure,Expires,Pb Order
DEPARTMENT OF AGRICULTURE,Office of the Chief Information Officer,39922,39929,70,"Washington, DC","Associate Chief Information Officer, International Security Operations Center, Cyber",Career Incumbent,CA,ES,, ,,25
DEPARTMENT OF AGRICULTURE,Office of the Chief Information Officer,39922,39929,70,"Washington, DC","Executive Officer, Enterprise Management",Career Incumbent,CA,ES,, ,,30
DEPARTMENT OF AGRICULTURE,Office of the Chief Information Officer,39922,39929,70,"Washington, DC",Senior Advisor,Barbara M. Leach ,SC,GS,15, ,,35
DEPARTMENT OF AGRICULTURE,OFFICE OF THE CHIEF FINANCIAL OFFICER,39923,39928,80,"Washington, DC",Chief Financial Officer,Jon M. Holladay ,PAS,EX,IV, ,,5
DEPARTMENT OF AGRICULTURE,OFFICE OF THE CHIEF FINANCIAL OFFICER,39923,39928,80,"Washington, DC","Associate Chief Financial Officer, Financial Operations/Controller",Career Incumbent,CA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,National Finance Center,39957,39923,90,"New Orleans, LA","Director, National Finance Center",Vacant,,ES,, ,,5
DEPARTMENT OF AGRICULTURE,National Finance Center,39957,39923,90,"New Orleans, LA","Director, Government Employee Services Division",Career Incumbent,CA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC",General Counsel,Jeffrey Michael Prieto ,PAS,EX,IV, ,,1
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC",Deputy General Counsel (Principal),Lee Koehler Fink ,NA,ES,, ,,5
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC",Deputy General Counsel,Corey Then ,NA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Associate General Counsel, Civil Rights Litigation",Career Incumbent,CA,ES,, ,,15
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Assistant General Counsel, Marketing, Regulatory and Food Safety Programs Division",Career Incumbent,CA,ES,, ,,20
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Assistant General Counsel, International Affairs, Food Assistance and Farm and Rural Programs Division",Career Incumbent,CA,ES,, ,,25
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Associate General Counsel, Regulatory and Marketing",Career Incumbent,CA,ES,, ,,30
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Assistant General Counsel, General Law and Research Division",Career Incumbent,CA,ES,, ,,35
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Assistant General Counsel, International Affairs, Food Assistance, and Farm and Rural Programs Division",Career Incumbent,CA,ES,, ,,40
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Associate General Counsel, International Affairs and Commodity Programs and Food Assistance",Career Incumbent,CA,ES,, ,,45
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"San Francisco, CA",Regional Attorney,Career Incumbent,CA,ES,, ,,50
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Kansas City, MO",Regional Attorney,Career Incumbent,CA,ES,, ,,55
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Atlanta, GA",Regional Attorney,Career Incumbent,CA,ES,, ,,60
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Denver, CO",Regional Attorney,Career Incumbent,CA,ES,, ,,65
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Associate General Counsel, International Affairs, Food Assistance, and Farm and Rural Programs Division",Career Incumbent,CA,ES,, ,,70
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC",Deputy General Counsel,Career Incumbent,CA,ES,, ,,75
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Assistant General Counsel, Civil Rights, Labor and Employment Law Division",Career Incumbent,CA,ES,, ,,80
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC","Director, Office of Ethics",Career Incumbent,CA,ES,, ,,85
DEPARTMENT OF AGRICULTURE,Office of the General Counsel,39924,39929,100,"Washington, DC",Senior Counselor,Kellie Nike Adesina ,SC,GS,15, ,,90
DEPARTMENT OF AGRICULTURE,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,39934,39928,120,"Washington, DC",Assistant Secretary for Administration,Gregory L. Parham ,PAS,EX,IV, ,,10
DEPARTMENT OF AGRICULTURE,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,39934,39928,120,"Washington, DC",Deputy Assistant Secretary for Administration,Yeshimebet Abebe ,NA,ES,, ,,15
DEPARTMENT OF AGRICULTURE,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,39934,39928,120,"Washington, DC",Deputy Assistant Secretary for Administration,Career Incumbent,CA,ES,, ,,20
DEPARTMENT OF AGRICULTURE,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,39934,39928,120,"Washington, DC",Chief of Staff,Vacant,,ES,, ,,25
DEPARTMENT OF AGRICULTURE,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,39934,39928,120,"Washington, DC",Senior Advisor and Director AAPI Affairs,Janet A. Nuzum ,NA,ES,, ,,30
DEPARTMENT OF AGRICULTURE,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION,39934,39928,120,"Washington, DC",Senior Advisor,Amy Elisabeth Reiter ,SC,GS,15, ,,70
DEPARTMENT OF AGRICULTURE,Office of Homeland Security and Emergency Coordination,40231,39934,130,"Washington, DC","Director, Office of Homeland Security and Emergency Coordination",Career Incumbent,CA,ES,, ,,50
DEPARTMENT OF AGRICULTURE,Office of Small and Disadvantaged Business Utilization,40233,39934,140,"Washington, DC","Director, Office of Small and Disadvantaged Business Utilization",Vacant,,ES,, ,,45
DEPARTMENT OF AGRICULTURE,Office of Small and Disadvantaged Business Utilization,40233,39934,140,"Washington, DC",Director,Henry Bennett ,SC,GS,15, ,,65
DEPARTMENT OF AGRICULTURE,Office of Human Resources Management,40232,39934,150,"Washington, DC","Director, Office of Human Resources Management",Career Incumbent,CA,ES,, ,,35
DEPARTMENT OF AGRICULTURE,Office of Human Resources Management,40232,39934,150,"Washington, DC",Deputy Director of Human Resources Management,Career Incumbent,CA,ES,, ,,40
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Civil Rights,39951,39929,160,"Washington, DC",Assistant Secretary for Civil Rights,Joseph E. Leonard Jr.,PAS,EX,IV, ,,5
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Civil Rights,39951,39929,160,"Washington, DC",Deputy Assistant Secretary for Civil Rights,Frederick W. Pfaeffle Esq.,NA,ES,, ,,10
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Civil Rights,39951,39929,160,"Washington, DC",Associate Assistant Secretary for Civil Rights,Career Incumbent,CA,ES,, ,,15
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Civil Rights,39951,39929,160,"Washington, DC","Director, Compliance, Policy, Training and Cultural Transformation",Career Incumbent,CA,ES,, ,,20
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Civil Rights,39951,39929,160,"Washington, DC","Director, Outreach and Diversity",Career Incumbent,CA,ES,, ,,25
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Civil Rights,39951,39929,160,"Washington, DC",Chief of Staff,Jillian Semaan ,SC,GS,15, ,,30
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Civil Rights,39951,39929,160,"Washington, DC",Senior Advisor,Ashlee Davis ,SC,GS,15, ,,35
DEPARTMENT OF AGRICULTURE,Office of the Assistant Secretary for Civil Rights,39951,39929,160,"Washington, DC",Special Advisor,Danielle K. Lewis ,SC,GS,13, ,,40
DEPARTMENT OF AGRICULTURE,Office of Advocacy and Outreach,40252,39934,165,"Washington, DC","Deputy Director, Office of Advocacy and Outreach",Vacant,,ES,, ,,55
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Under Secretary for Rural Development,Lisa Mensah ,PAS,EX,III, ,,5
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Deputy Under Secretary for Rural Development,Lillian Elizabeth Salerno ,NA,ES,, ,,25
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Deputy Under Secretary for RD,Vernita F. Dore ,NA,ES,, ,,30
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Senior Advisor ,Douglas John O'Brien ,NA,ES,, ,,35
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Administrator,Vacant,,ES,, ,,55
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Chief of Staff,Vacant,,ES,, ,,110
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Chief of Staff,Andrew W. Givens ,SC,GS,15, ,,125
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC","Director, Legislative and Public Affairs Staff",David Sandretti ,SC,GS,15, ,,130
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Special Advisor,Robert Edward Montejo II,SC,GS,15, ,,135
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Senior Advisor,Michael Wilson Daniels ,SC,GS,15, ,,145
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Special Assistant for Energy Programs,Todd Eric Campbell ,SC,GS,13, ,,170
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Confidential Assistant ,Victoria Kennedy ,SC,GS,11, ,,185
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Special Advisor,Sanah Pervaiz Baig ,SC,GS,12, ,,190
DEPARTMENT OF AGRICULTURE,OFFICE OF THE UNDER SECRETARY FOR RURAL DEVELOPMENT,39935,39928,170,"Washington, DC",Senior Advisor,Sarah M. Dietch ,SC,GS,15, ,,
DEPARTMENT OF AGRICULTURE,Rural Business Service,40210,39935,180,"Washington, DC","Administrator, Rural Business-Cooperative Service",Samuel Hamilton Rikkers ,NA,ES,, ,,40
DEPARTMENT OF AGRICULTURE,Rural Business Service,40210,39935,180,"Washington, DC","Deputy Administrator, Cooperative Services",Vacant,,ES,, ,,50
DEPARTMENT OF AGRICULTURE,Rural Business Service,40210,39935,180,"Washington, DC",Chief of Staff,Justin Sterling Hatmaker ,SC,GS,15, ,,120
DEPARTMENT OF AGRICULTURE,Rural Business Service,40210,39935,180,"Washington, DC",Senior Advisor,Cristina Caridad Bernardo ,SC,GS,14, ,,160
DEPARTMENT OF AGRICULTURE,Rural Utilities Service,40212,39935,190,"Washington, DC","Administrator, Rural Utilities Service",Brandon McBride ,PA,EX,IV, ,,15
DEPARTMENT OF AGRICULTURE,Rural Utilities Service,40212,39935,190,"Washington, DC",Assistant Administrator - Telecommunications,Career Incumbent,CA,ES,, ,,45
DEPARTMENT OF AGRICULTURE,Rural Utilities Service,40212,39935,190,"Washington, DC",Assistant Administrator - Electric Program,Career Incumbent,CA,ES,, ,,75
DEPARTMENT OF AGRICULTURE,Rural Utilities Service,40212,39935,190,"Washington, DC",Deputy Administrator,Vacant,,ES,, ,,80
DEPARTMENT OF AGRICULTURE,Rural Utilities Service,40212,39935,190,"Washington, DC","Assistant Administrator, Water and Environmental Programs",Career Incumbent,CA,ES,, ,,85
DEPARTMENT OF AGRICULTURE,Rural Utilities Service,40212,39935,190,"Washington, DC","Deputy Administrator, Rural Utilities Service",Joshua Jackson Cohen ,NA,ES,, ,,115
DEPARTMENT OF AGRICULTURE,Rural Utilities Service,40212,39935,190,"Washington, DC",Senior Advisor,Titilayo Ogunyale ,SC,GS,14, ,,150
DEPARTMENT OF AGRICULTURE,Rural Utilities Service,40212,39935,190,"Washington, DC",Policy Advisor,Kevin Thomas Bailey ,SC,GS,13, ,,175
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC","Administrator, Rural Housing Service",Anthony Hernandez ,NA,ES,, ,,60
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC",Deputy Administrator for Single-Family Housing,Career Incumbent,CA,ES,, ,,65
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC",Associate Administrator,David Lipsetz ,NA,ES,, ,,70
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC","Deputy Administrator, Community Programs",Career Incumbent,CA,ES,, ,,90
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC",Chief Information Officer,Career Incumbent,CA,ES,, ,,95
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC",Senior Advisor,Alexander M. Jones ,SC,GS,15, ,,140
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC",Senior Advisor,Megan E. McConville ,SC,GS,14, ,,155
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC",Special Assistant,Irene Lin ,SC,GS,14, ,,165
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Washington, DC",Special Assistant,Denise Nichole Scott ,SC,GS,11, ,,180
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Athens, GA",State Director-Georgia,Jill Pickenpaugh Stuckey ,SC,GS,15, ,,195
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Lakewood, CO",State Director-Colorado,Trudy L. Kareus ,SC,GS,15, ,,200
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Bozeman, MT",State Director-Montana,John Edward Walsh ,SC,GS,15, ,,205
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Montpelier, VT",State Director-Vermont/New Hampshire,Edward M Brady ,SC,GS,15, ,,210
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Syracuse, NY",State Director-New York,Stanley William Telega ,SC,GS,15, ,,215
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Dover, DE",State Director-Delaware/Maryland,William Alexander McGowan ,SC,GS,15, ,,220
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Montgomery, AL",State Director - Alabama,Ronald Wayne Davis ,SC,GS,15, ,,225
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Palmer, AK",State Director - Alaska,James Robert Nordlund ,SC,GS,15, ,,230
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Little Rock, AR",State Director - Arkansas,Lawrence E. McCullough ,SC,GS,15, ,,235
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Davis, CA",State Director - California,Janice L. Waddell ,SC,GS,15, ,,240
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Gainesville, FL",State Director - Florida,Richard Albert Machek ,SC,GS,15, ,,245
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Hilo, HI",State Director - Hawaii,Chris Jun Kanazawa ,SC,GS,15, ,,250
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Boise, ID",State Director - Idaho,Wallace E Hedrick ,SC,GS,15, ,,255
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Champaign, IL",State Director - Illinois,Colleen Rae Callahan Burns ,SC,GS,15, ,,260
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Indianapolis, IN",State Director - Indiana,Philip G. Lehmkuhler ,SC,GS,15, ,,265
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Des Moines, IA",State Director - Iowa,William Joseph Menner ,SC,GS,15, ,,270
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Topeka, KS",State Director - Kansas,Patricia Ann Clark ,SC,GS,15, ,,275
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Lexington, KY",State Director - Kentucky,Thomas Gene Fern ,SC,GS,15, ,,280
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Alexandria, LA",State Director - Louisiana,Clarence Willie Hawkins ,SC,GS,15, ,,285
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Bangor, ME",State Director - Maine,Virginia A. Manuel ,SC,GS,15, ,,290
DEPARTMENT OF AGRICULTURE,Rural Housing Service,40211,39935,200,"Amherst, MA","State Director - Massachusetts, Rhode Island & Connecticut",Scott J Soares ,SC,GS,15, ,,295
